1 Dywizji Piechoty Legionów Józefa Piłsudskiego;Patroni
Aleja Antoniego Nowakowskiego;Patroni
Aleja Białych Brzóz;Przyrodnicze
Aleja Niezależnego Zrzeszenia Studentów UMK;Inne
Aleja Romantyczna;Inne
Aleja Rotmistrza Witolda Pileckiego;Patroni
Aleja Złotej Jesieni;Przyrodnicze
Bulwary Miast Partnerskich - Bulwar Żółkwi;Geograficzne
Dworek Mazurski;Geograficzne
Leśnictwo Podlasie;Geograficzne
Mariana Paska;Patroni
Most Brama Przemyska;Geograficzne
Most Maślicki;Geograficzne
Most Mieszczański;Historyczne
Most im. Orląt Przemyskich;Historyczne
Most imienia Pawła Włodkowica;Patroni
Most św. Barbary;Patroni
Mosty im. rotmistrza Witolda Pileckiego;Patroni
Nabrzeże BON;Inne
Nabrzeże Drzetowskie S;Geograficzne
Nabrzeże Gliwickie - Uskok;Geograficzne
Nabrzeże Pasażerskie;Techniczne
Nabrzeże Plaża Mieleńska;Geograficzne
Nabrzeże SUM-S;Inne
Osada Gajówka;Przyrodnicze
Osiedle Alaska;Geograficzne
Osiedle Astrów;Przyrodnicze
Osiedle Bielany;Geograficzne
Osiedle Boreckie;Geograficzne
Osiedle Bronowice Nowe;Geograficzne
Osiedle Jagodowe;Przyrodnicze
Osiedle Księżaki;Geograficzne
Osiedle Platanowe;Przyrodnicze
Osiedle Sojkówka;Geograficzne
Osiedle Stasichy;Geograficzne
Osiedle Szarych Szeregów;Historyczne
Osiedle Zacisze;Neutralne
Osiedle Zacisze nad Stawem;Przyrodnicze
Osiedle Zakocierz;Geograficzne
Osiedle Zamkowe;Historyczne
Osiedle imienia Jana Pawła II;Patroni
Park Jana Kilińskiego;Patroni
Park Konstytucji 3 Maja;Historyczne
Park Miejski w Czyżewie im. prof. Mariana Sokołowskiego;Patroni
Park Zespołu Pieśni i Tańca "Rzeszowiacy";Inne
Park Zgoda;Neutralne
Pasaż Haliny Poświatowskiej;Patroni
Plac Artura Zawiszy;Patroni
Plac Bernarda Poloka;Patroni
Plac Defilad;Historyczne
Plac Farmacji;Techniczne
Plac Generała Władysława E. Sikorskiego;Patroni
Plac Grzegorza Ciechowskiego;Patroni
Plac Inwalidów Wojennych;Historyczne
Plac Jana Kasprowicza;Patroni
Plac Kardynała Stefana Wyszyńskiego;Patroni
Plac Kultury;Techniczne
Plac Marii Turzymy;Patroni
Plac Niepodległości im. Romana Dmowskiego;Historyczne
Plac Obrońców Katowic;Historyczne
Plac Sobieskiego;Patroni
Plac im. Aleksandra Czeczyna;Patroni
Plac Świętego Ducha;Patroni
Rondo 4 Czerwca;Historyczne
Rondo 42 Pułku Zmechanizowanego;Historyczne
Rondo Działkowców;Techniczne
Rondo Jana Nowaka-Jeziorańskiego;Patroni
Rondo Józefa Szczepańskiego "Ziutka";Patroni
Rondo Korpusu Ochrony Pogranicza;Historyczne
Rondo Liczby Pi;Inne
Rondo Optymizmu;Inne
Rondo Piwowarów Grodziskich;Techniczne
Rondo Republiki Gniewskiej;Historyczne
Rondo Tomasza Szwejkowskiego;Patroni
Rondo Ułanów 1920;Historyczne
Rondo Wincentego Spaltensteina;Patroni
Rondo Władysława Szpilmana;Patroni
Rondo Zbigniewa Zakrzewskiego;Patroni
Rondo im. Honorowych Dawców Krwi;Inne
Rondo im. Jana Dobrogosta Krasińskiego;Patroni
Rondo im. Karola Fryderyka Conradiego;Patroni
Rondo im. Michała Jeziorskiego;Patroni
Rondo im. Podoficerów Małoletnich;Historyczne
Rondo im. ks. Andrzeja Rabija;Patroni
Rondo im. ks. Piotra Mazurka SDS;Patroni
Rondo im. rotmistrza Witolda Pileckiego;Patroni
Rondo ks. Edwarda Kopra;Patroni
Rondo ks. Kardynała Stefana Wyszyńskiego;Patroni
Rondo ks. Stanisława Guzika;Patroni
Rondo Św. Jakuba Apostoła w Piekoszowie;Patroni
Rondo św. Faustyny Kowalskiej;Patroni
Skwer "Starszych Panów";Inne
Skwer Batalionu AK "Czata 49";Historyczne
Skwer Janiny Klatt;Patroni
Skwer Księdza Prałata Jana Gabora;Patroni
Skwer Obrońców Grodna 1939;Historyczne
Skwer Ofiar Tragedii 1896 r. w Kopalni Kleofas;Historyczne
Skwer Orląt Lwowskich;Historyczne
Skwer Porozumienia Jastrzębskiego 1980 roku;Historyczne
Skwer Spotkania;Neutralne
Skwer Tekli Bądarzewskiej;Patroni
Skwer Władysława Strzemińskiego;Patroni
Skwer Ziemi Aniołów;Inne
Skwer Zygmunta Majgiera;Patroni
Skwer im. Eugeniusza Kwiatkowskiego;Patroni
Skwer im. Jana Zycha;Patroni
Skwer im. Powstańców Wielkopolskich;Historyczne
Skwer im. Profesor Agnieszki Borzuchowskiej;Patroni
Skwer im. Tadeusza Zastawnika;Patroni
Skwer ks. Otto Bowiena;Patroni
Skwer ks. Piotra Mazura;Patroni
Skwer ks. Romana Panewicza;Patroni
Skwer Świętej Siostry Faustyny Kowalskiej;Patroni
Skwer Świętej Urszuli Ledóchowskiej;Patroni
Skwer św. Konstantyna Wielkiego, cesarza;Patroni
Skwer Żołnierzy II Armii Wojska Polskiego;Historyczne
Stacja WKD;Techniczne
Trakt Napoleoński;Historyczne
Wiadukt mjr. pilota Władysława Nowaka;Patroni
al. Bernardyńska;Geograficzne
al. Józefa Odrowąża;Patroni
al. Majowa;Przyrodnicze
al. Rzeczypospolitej;Historyczne
al. Warszawska;Geograficzne
al. Zwycięzców;Historyczne
aleja Lipowa;Przyrodnicze
inne Pasaż Stefanii Grodzieńskiej;Patroni
os. 11 Listopada;Historyczne
os. Górna;Neutralne
os. Józefa Poniatowskiego;Patroni
os. Kolonia Górka;Geograficzne
os. Osiedle Kaptarz;Geograficzne
os. Skolnity;Geograficzne
os. Wojska Polskiego;Historyczne
osiedle Budowlanych;Techniczne
park Aleksandra Jagiellończyka Króla Polski;Patroni
park Jarosława Dąbrowskiego;Patroni
park Karola Marcinkowskiego;Patroni
park Park Jordanka;Inne
park Park płk. Jana Szypowskiego Leśnika;Patroni
park Pawła Tendery;Patroni
park Widzewski;Geograficzne
park park Antoniego Kadziaka;Patroni
pl. Adama Asnyka;Patroni
pl. Antonio Corazziego;Patroni
pl. Grunwaldzki;Historyczne
pl. Juliana Tuwima;Patroni
pl. Pl. Zwycięstwa;Historyczne
pl. Plac Chrobrego;Patroni
pl. Plac im. Teodora Stosika;Patroni
pl. Plac im. dr Zygmunta Brodowicza;Patroni
pl. Powstańców Warszawy 1944;Historyczne
pl. Skwer Jana Pawła II;Patroni
pl. Tadeusza Zawadzkiego;Patroni
pl. kard. Stefana Wyszyńskiego;Patroni
plac dr Stefana Kamińskiego;Patroni
rondo 4 Czerwca;Historyczne
rondo Anny Czarnieckiej;Patroni
rondo Batalionów Chłopskich;Historyczne
rondo Ciepłowników;Techniczne
rondo Ignacego Łukasiewicza;Patroni
rondo Jerzego Cichowicza;Patroni
rondo Juliana Tuwima;Patroni
rondo Lotników Inowrocławskich;Historyczne
rondo Ofiar Zbrodni Katyńskiej;Historyczne
rondo Przy Kuźni;Techniczne
rondo Represjonowanych Żołnierzy Górników;Historyczne
rondo Rondo 1000-lecia Powstania Królestwa Polskiego;Historyczne
