STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_fo,Forestry indicators,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,AT,Austria,2015,,46.2,,p,provisional,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,AT,Austria,2016,,46.2,,p,provisional,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,AT,Austria,2017,,46.2,,p,provisional,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,AT,Austria,2018,,46.3,,p,provisional,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,AT,Austria,2019,,46.3,,p,provisional,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,AT,Austria,2020,,46.3,,p,provisional,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,AT,Austria,2021,,46.4,,p,provisional,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,AT,Austria,2022,,46.4,,p,provisional,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,AT,Austria,2023,,46.4,,p,provisional,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BE,Belgium,2015,,22.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BE,Belgium,2016,,22.5,,i,value imputed by Eurostat or other receiving agencies,,
dataflow,ESTAT:SDG_15_11$DEFAULTVIEW(1.0),Forest area,A,Annual,FOR,Forest,PC,Percentage,BE,Belgium,2017,,22.5,,i,value imputed by Eurostat or other receiving agencies,,
