Country,Continent,ISO_Code,Level,GDLCODE,Region,2023
Afghanistan,Asia/Pacific,AFG,National,AFGt,Total,2.515
Albania,Europe,ALB,National,ALBt,Total,10.18
Algeria,Africa,DZA,National,DZAt,Total,7.416
Andorra,Europe,AND,National,ANDt,Total,11.61
Angola,Africa,AGO,National,AGOt,Total,5.956
"Antigua and Barbuda",America,ATG,National,ATGt,Total,11.65
"Argentina urban",America,ARG,National,ARGt,Total,11.19
Armenia,Asia/Pacific,ARM,National,ARMt,Total,11.35
Australia,Asia/Pacific,AUS,National,AUSt,Total,12.87
Austria,Europe,AUT,National,AUTt,Total,12.36
Azerbaijan,Europe,AZE,National,AZEt,Total,11.07
"Bahamas, The",America,BHS,National,BHSt,Total,12.81
Bahrain,Asia/Pacific,BHR,National,BHRt,Total,11.13
Bangladesh,Asia/Pacific,BGD,National,BGDt,Total,6.79
Barbados,America,BRB,National,BRBt,Total,9.928
Belarus,Europe,BLR,National,BLRt,Total,12.34
Belgium,Europe,BEL,National,BELt,Total,12.69
Belize,America,BLZ,National,BLZt,Total,8.762
Benin,Africa,BEN,National,BENt,Total,3.194
Bhutan,Asia/Pacific,BTN,National,BTNt,Total,5.836
Bolivia,America,BOL,National,BOLt,Total,10.02
"Bosnia and Herzegovina",Europe,BIH,National,BIHt,Total,10.97
Botswana,Africa,BWA,National,BWAt,Total,10.48
Brazil,America,BRA,National,BRAt,Total,8.425
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,9.282
Bulgaria,Europe,BGR,National,BGRt,Total,11.46
"Burkina Faso",Africa,BFA,National,BFAt,Total,2.267
Burundi,Africa,BDI,National,BDIt,Total,3.474
Cambodia,Asia/Pacific,KHM,National,KHMt,Total,5.197
Cameroon,Africa,CMR,National,CMRt,Total,6.574
Canada,America,CAN,National,CANt,Total,13.87
"Cape Verde",Africa,CPV,National,CPVt,Total,6.09
"Central African Republic CAR",Africa,CAF,National,CAFt,Total,3.989
Chad,Africa,TCD,National,TCDt,Total,2.335
Chili,America,CHL,National,CHLt,Total,11.29
China,Asia/Pacific,CHN,National,CHNt,Total,8.036
Colombia,America,COL,National,COLt,Total,9.032
Comoros,Africa,COM,National,COMt,Total,6.007
"Congo Brazzaville",Africa,COG,National,COGt,Total,8.323
"Congo Democratic Republic",Africa,COD,National,CODt,Total,7.379
"Costa Rica",America,CRI,National,CRIt,Total,8.845
"Cote d'Ivoire",Africa,CIV,National,CIVt,Total,4.87
Croatia,Europe,HRV,National,HRVt,Total,12.1
Cuba,America,CUB,National,CUBt,Total,10.63
Cyprus,Europe,CYP,National,CYPt,Total,12.56
Czechia,Europe,CZE,National,CZEt,Total,12.96
Denmark,Europe,DNK,National,DNKt,Total,13.03
Djibouti,Africa,DJI,National,DJIt,Total,3.95
Dominica,America,DMA,National,DMAt,Total,10.13
"Dominican Republic",America,DOM,National,DOMt,Total,9.445
Ecuador,America,ECU,National,ECUt,Total,8.97
Egypt,Africa,EGY,National,EGYt,Total,10.14
"El Salvador",America,SLV,National,SLVt,Total,7.3
"Equatorial Guinea",Africa,GNQ,National,GNQt,Total,8.281
Eritrea,Africa,ERI,National,ERIt,Total,5.091
Estonia,Europe,EST,National,ESTt,Total,13.56
Eswatini,Africa,SWZ,National,SWZt,Total,8.685
Ethiopia,Africa,ETH,National,ETHt,Total,2.403
Fiji,Asia/Pacific,FJI,National,FJIt,Total,10.37
Finland,Europe,FIN,National,FINt,Total,12.98
France,Europe,FRA,National,FRAt,Total,11.77
Gabon,Africa,GAB,National,GABt,Total,9.686
Gambia,Africa,GMB,National,GMBt,Total,4.675
Georgia,Asia/Pacific,GEO,National,GEOt,Total,12.7
Germany,Europe,DEU,National,DEUt,Total,14.3
Ghana,Africa,GHA,National,GHAt,Total,7.107
Greece,Europe,GRC,National,GRCt,Total,11.55
Grenada,America,GRD,National,GRDt,Total,9.446
Guatemala,America,GTM,National,GTMt,Total,5.847
Guinea,Africa,GIN,National,GINt,Total,2.486
"Guinea Bissau",Africa,GNB,National,GNBt,Total,3.673
Guyana,America,GUY,National,GUYt,Total,8.702
Haiti,America,HTI,National,HTIt,Total,5.382
Honduras,America,HND,National,HNDt,Total,7.51
Hungary,Europe,HUN,National,HUNt,Total,12.33
Iceland,Europe,ISL,National,ISLt,Total,13.91
India,Asia/Pacific,IND,National,INDt,Total,6.88
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,8.697
Iran,Asia/Pacific,IRN,National,IRNt,Total,10.85
Iraq,Asia/Pacific,IRQ,National,IRQt,Total,6.78
Ireland,Europe,IRL,National,IRLt,Total,11.73
