Country ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,35 370,35 640,36 080,36 300,37 440,38 100,38 810,39 950,39 810,38 740,39 420,39 670,39 510,39 440,39 960,40 310,40 590,41 030,41 610,42 400,40 190,42 530,43 860,44 230,44 460
Bulgaria,4 160,4 460,4 750,5 020,5 380,5 790,6 220,6 670,7 110,6 910,7 060,7 390,7 530,7 600,7 770,8 130,8 490,8 840,9 170,9 650,9 440,10 250,10 740,10 950,11 330
Czech Republic,13 410,13 860,14 110,14 570,15 250,16 180,17 200,18 050,18 330,17 350,17 770,18 120,17 970,17 970,18 370,19 270,19 760,20 760,21 320,22 050,20 980,21 830,21 910,21 680,21 910
Denmark,47 150,47 430,47 490,47 570,48 770,49 780,51 510,51 790,51 270,48 460,49 010,49 440,49 260,49 750,50 110,50 810,51 950,53 200,53 920,54 630,53 540,56 780,56 530,56 470,58 160
Germany,34 690,35 240,35 130,34 960,35 400,35 770,37 230,38 390,38 840,36 810,38 430,39 880,40 010,40 100,40 850,41 230,41 880,42 960,43 390,43 790,42 020,43 730,44 230,43 450,43 110
Estonia,10 480,11 160,12 020,13 010,13 980,15 400,17 010,18 400,17 510,14 980,15 380,16 590,17 260,17 630,18 280,18 650,19 190,20 270,20 970,21 650,20 960,22 670,22 370,21 210,21 060
Ireland,39 880,41 350,43 030,43 600,45 760,47 310,48 390,49 450,46 230,43 450,43 990,44 510,44 150,44 890,48 770,60 210,60 220,65 370,69 390,71 720,75 820,87 160,91 760,87 810,88 600
Greece,16 120,16 780,17 510,18 480,19 420,19 590,20 790,21 470,21 420,20 490,19 300,17 420,16 050,15 800,16 030,16 100,16 160,16 430,16 810,17 210,15 660,17 110,18 160,18 600,19 020
Spain,22 930,23 700,23 970,24 220,24 590,25 000,25 600,25 990,25 760,24 590,24 510,24 260,23 560,23 310,23 730,24 720,25 420,26 110,26 620,26 930,23 850,25 440,26 820,27 150,27 800
France,32 030,32 400,32 510,32 600,33 300,33 680,34 360,35 010,34 960,33 800,34 310,34 990,34 880,34 990,35 150,35 370,35 540,36 140,36 570,37 160,34 280,36 470,37 320,37 760,38 110
Croatia,8 490,9 100,9 620,10 150,10 570,11 020,11 570,12 160,12 400,11 570,11 440,11 470,11 270,11 340,11 370,11 760,12 320,12 910,13 460,14 020,12 980,14 750,15 900,16 490,17 060
Italy,31 090,31 690,31 720,31 570,31 790,31 850,32 290,32 570,31 990,30 110,30 440,30 550,29 510,28 920,28 910,29 210,29 630,30 160,30 470,30 680,28 100,30 760,32 310,32 640,32 890
Cyprus,20 500,21 080,21 610,21 910,22 710,23 470,24 170,24 870,25 140,23 980,23 890,23 390,22 280,20 830,20 490,21 140,22 410,23 500,24 690,25 790,24 630,27 030,28 730,29 200,29 870
Latvia,6 540,7 050,7 680,8 410,9 240,10 430,11 870,13 220,12 900,11 020,10 840,11 380,12 360,12 750,13 140,13 750,14 230,14 850,15 610,15 820,15 370,16 580,16 890,16 770,16 910
Lithuania,6 550,7 030,7 560,8 430,9 080,9 940,10 850,12 190,12 640,10 880,11 160,12 140,12 830,13 480,14 100,14 630,15 200,16 090,17 030,17 870,17 890,19 040,19 350,19 220,19 690
Luxembourg,89 780,91 520,93 460,94 720,97 380,98 260,102 580,109 090,106 870,101 540,103 430,102 110,101 440,102 010,102 240,102 530,104 920,104 020,103 640,104 310,102 190,107 570,104 100,102 250,101 000
Hungary,8 800,9 180,9 640,10 050,10 570,11 050,11 500,11 550,11 690,10 920,11 060,11 300,11 220,11 490,12 040,12 530,12 880,13 460,14 240,14 980,14 370,15 470,16 160,16 050,16 190
Malta,17 350,16 910,17 250,17 770,17 720,18 120,18 480,19 340,20 060,19 630,20 750,20 860,21 540,22 600,23 840,25 520,25 960,28 530,29 510,29 480,27 870,31 430,31 380,33 360,34 650
Netherlands,40 430,41 060,40 890,40 740,41 420,42 160,43 590,45 180,45 960,44 050,44 400,44 980,44 370,44 230,44 780,45 530,46 380,47 390,48 180,48 970,46 810,49 490,51 480,50 660,50 880
Austria,37 880,38 230,38 610,38 880,39 620,40 270,41 370,42 790,43 270,41 620,42 280,43 370,43 450,43 080,43 070,43 200,43 550,44 260,45 140,45 730,42 650,44 580,46 430,45 670,45 140
Poland,6 950,7 040,7 180,7 440,7 820,8 080,8 590,9 170,9 570,9 810,10 150,10 680,10 840,10 930,11 360,11 870,12 240,12 870,13 680,14 310,14 310,15 380,15 840,15 950,16 470
Portugal,18 580,18 810,18 850,18 600,18 890,19 000,19 280,19 720,19 760,19 120,19 440,19 110,18 410,18 330,18 560,18 920,19 350,20 020,20 620,21 150,19 360,20 390,21 690,22 130,22 350
Romania,4 810,5 060,5 530,5 690,6 320,6 650,7 230,7 870,8 740,8 330,8 050,8 460,8 660,8 710,9 100,9 430,9 760,10 620,11 260,11 760,11 390,12 130,12 690,12 970,13 100
Slovenia,15 730,16 160,16 660,17 180,17 950,18 610,19 640,20 930,21 600,19 770,19 920,20 010,19 390,19 210,19 720,20 170,20 770,21 830,22 720,23 330,22 230,24 040,24 660,25 120,25 480
Slovakia,8 730,9 020,9 420,9 880,10 410,11 070,12 050,13 340,14 030,13 230,14 100,14 540,14 750,14 830,15 220,16 000,16 280,16 730,17 380,17 760,17 270,18 320,18 360,18 750,19 110
Finland,36 230,37 100,37 630,38 300,39 720,40 680,42 150,44 210,44 350,40 570,41 660,42 460,41 620,41 020,40 650,40 700,41 640,42 910,43 360,43 910,42 740,43 800,44 010,43 440,43 280
Sweden,37 180,37 580,38 310,38 890,40 360,41 330,42 990,44 080,43 330,41 130,43 130,44 150,43 650,43 770,44 330,45 790,46 220,46 420,46 700,47 410,46 180,48 300,48 390,47 960,48 210
Iceland,43 650,44 720,44 570,45 270,48 290,50 880,52 510,55 670,55 580,50 780,50 250,51 310,51 570,52 880,53 280,54 760,57 320,57 910,59 120,58 770,54 190,56 150,59 700,61 240,59 530
Norway,54 080,54 920,55 380,55 570,57 460,58 610,59 560,60 670,60 210,58 300,58 030,57 920,58 710,58 590,59 130,59 610,59 780,60 780,60 880,61 150,60 020,62 030,63 470,62 790,63 500
Switzerland,65 020,65 720,65 210,64 720,66 020,67 440,69 750,71 840,72 990,70 520,72 250,72 900,72 960,73 420,74 230,74 530,75 260,75 580,77 180,77 510,75 280,78 880,80 600,79 940,80 080
Montenegro,:,:,:,:,:,:,5 610,6 000,6 400,6 010,6 160,6 360,6 190,6 390,6 530,6 690,6 910,7 120,7 460,7 780,6 610,7 500,8 100,8 620,8 890
Albania,2 120,2 330,2 440,2 580,2 730,2 880,3 080,3 300,3 550,3 680,3 800,3 910,3 950,4 030,4 130,4 230,4 400,4 550,4 730,4 850,4 710,5 190,5 500,:,5 726
Serbia,3 670,3 930,4 190,4 390,4 700,4 990,5 200,5 630,5 950,5 790,5 900,5 950,5 950,6 010,5 930,6 040,6 250,6 430,6 770,7 130,7 110,7 740,8 160,8 510,8 900
Turkey,4 000,3 730,3 920,4 090,4 450,4 790,5 070,5 260,5 240,4 920,5 260,5 750,5 950,6 370,6 580,6 870,7 000,7 450,7 600,7 590,7 660,8 480,8 860,9 270,15 461
