country;speed
Singapore;336.45
United Arab Emirates;310.05
Hong Kong;305.71
France;287.44
Iceland;281.95
Chile;276.77
United States;274.16
Denmark;247.62
Spain;245.58
Switzerland;242.32
Romania;238.22
China;238.04
Thailand;237.05
Macau;233.79
Canada;231.74
Israel;226.64
Taiwan;226.59
Hungary;212.14
Japan;212.06
Portugal;205.63
Netherlands;201.73
Peru;197.97
Kuwait;193.81
South Korea;193.49
Qatar;189.93
Liechtenstein;188.37
Brazil;186.31
Poland;181.57
Luxembourg;175.3
New Zealand;174.64
Sweden;174.52
Panama;169.28
Colombia;166.9
Vietnam;163.41
Jordan;162.83
Uruguay;154.86
Norway;150.87
Malta;147.78
Ireland;146.47
Finland;144.79
Moldova;135.91
United Kingdom;131.77
Malaysia;129.45
Trinidad and Tobago;123.26
Saudi Arabia;120.25
Belgium;113.21
Costa Rica;108.73
Ecuador;107.4
Austria;100.6
Barbados;98.15
San Marino;96.77
Slovenia;96.19
Cyprus;95.62
Montenegro;94.88
Latvia;94.86
Germany;94.78
Paraguay;94.59
Philippines;94.1
Guyana;93.53
Argentina;93.04
Slovakia;92.3
Croatia;92.1
Italy;91.83
Dominica;91.78
Estonia;91.06
Serbia;90.42
Russia;90.06
Bahrain;87.29
Bulgaria;87.05
Mexico;85.45
Ukraine;84.4
Jamaica;83.33
Oman;83
Kosovo;82.05
Uzbekistan;81.58
Venezuela;80.74
Albania;80.33
Egypt;80.32
Nicaragua;79.71
Czech Republic;79.3
Australia;79.18
El Salvador;78.07
Kazakhstan;77.93
Belarus;77.27
Brunei;76.61
Mongolia;75.28
Kyrgyzstan;74.43
Nepal;72.79
Bahamas;70.09
Azerbaijan;66.91
Palestine;65.81
Honduras;64.25
Greece;62.17
India;62.07
Armenia;59.88
Guatemala;59.78
Ivory Coast;57.92
Mauritius;51.71
Ghana;51.08
Bangladesh;50.93
Turkey;49.11
South Africa;48.4
Burkina Faso;48.21
North Macedonia;47.61
Belize;47.59
Bolivia;47.39
Cambodia;46.89
Dominican Republic;45.53
Haiti;44.33
Gabon;42.52
Georgia;41.98
Laos;39.17
DR Congo;38.8
Antigua and Barbuda;38.73
Rwanda;36.7
Morocco;35.98
Togo;33.63
Iraq;33.28
Bosnia and Herzegovina;33.2
Tajikistan;32.83
Indonesia;32.13
Madagascar;28.34
Myanmar;28.23
Nigeria;25.39
Uganda;24.37
Angola;23.81
Sri Lanka;23.77
Zimbabwe;23.6
Benin;22.16
Mauritania;21.16
Suriname;18.87
Tanzania;18.53
Somalia;17.69
Maldives;17.69
Zambia;17.1
Iran;16.21
Algeria;16.16
Pakistan;15.79
Mozambique;15.26
Kenya;14.65
Botswana;14.32
Lebanon;14.1
Namibia;13.72
Tunisia;11.86
Yemen;10.5
Libya;10.18
Ethiopia;9.66
Cameroon;9.02
Afghanistan;3.81
Turkmenistan;3.6
Syria;3.31
Cuba;3.04
