"Kod";"Nazwa";"ogółem;2024;[%]";
0000000;"POLSKA";84,1;
0200000;"DOLNOŚLĄSKIE";82,6;
0400000;"KUJAWSKO-POMORSKIE";82,8;
0600000;"LUBELSKIE";83,1;
0800000;"LUBUSKIE";83,1;
1000000;"ŁÓDZKIE";83,4;
1200000;"MAŁOPOLSKIE";87,0;
1400000;"MAZOWIECKIE";85,5;
1600000;"OPOLSKIE";81,0;
1800000;"PODKARPACKIE";84,1;
2000000;"PODLASKIE";82,4;
2200000;"POMORSKIE";83,1;
2400000;"ŚLĄSKIE";84,3;
2600000;"ŚWIĘTOKRZYSKIE";85,8;
2800000;"WARMIŃSKO-MAZURSKIE";84,4;
3000000;"WIELKOPOLSKIE";83,0;
3200000;"ZACHODNIOPOMORSKIE";82,7;
