Al. Pierwszej Dywizji;Historyczne
Aleja Cezarego Józefiaka;Patroni
Aleja Dwudziestolatków;Historyczne
Aleja Jana Chrystiana Szucha;Patroni
Aleja Kolejowa;Techniczne
Aleja Narcyzy Żmichowskiej;Patroni
Aleja Piotra z Grudziądza;Patroni
Aleja Sportowa;Techniczne
Aleja Walentyny i Feliksa Mniewskich;Patroni
Bulwary Miast Partnerskich - Bulwar Sighisoary;Geograficzne
Latawcowa;Inne
Most Gdański;Geograficzne
Most Oławski;Geograficzne
Most Wrocławski;Geograficzne
Most Zwycięstwa;Historyczne
Nabrzeże Bulwar Chrobrego;Patroni
Nabrzeże Krakowskie;Geograficzne
Nabrzeże Remontowe;Techniczne
Nabrzeże Władysławowskie;Historyczne
Os. Hatale;Inne
Os. Sordyle;Inne
Osiedle 2000;Historyczne
Osiedle Dłubacze;Inne
Osiedle Jedzinne;Inne
Osiedle Jesionowe;Przyrodnicze
Osiedle Kameliowe;Przyrodnicze
Osiedle Kopcówka;Inne
Osiedle Piotra Wysockiego;Patroni
Osiedle Robotnicze;Techniczne
Osiedle Sambora I;Historyczne
Osiedle Ustronne;Neutralne
Osiedle Villa Park Brodowo;Inne
Osiedle Włókniarzy;Techniczne
Osiedle Zielone Łąki;Przyrodnicze
Osiedle przy Rzece;Przyrodnicze
Osiedle w Dolinie;Przyrodnicze
Osiedle Łąkoszyn;Inne
Park Bolina;Inne
Park Gminny w Radiówku im. Georga Bidwella;Patroni
Park Górniczy;Techniczne
Park Jelitkowski;Geograficzne
Park Kolei Szprotawskiej;Techniczne
Park Króla Przemysła II;Patroni
Park Miłości im. dr Michaliny Wisłockiej;Patroni
Park Pianistyki Polskiej;Historyczne
Park Strzelnica;Techniczne
Park Winnica;Przyrodnicze
Park im. Sprawiedliwych wśród Narodów Świata;Historyczne
Park im. Świętego Jana Pawła II;Patroni
Park nad Gwdą im. Tekli Anny Budnowskiej;Patroni
Park nad Sokołówką;Przyrodnicze
Pasaż Braci Łopieńskich;Patroni
Plac 750-lecia Kamionny;Historyczne
Plac Antoniego Gryziny-Laska;Patroni
Plac Bohaterów Westerplatte;Historyczne
Plac Jana Kazimierza;Patroni
Plac Jana Pawła II, Papieża;Patroni
Plac Jaworkowy;Przyrodnicze
Plac Karola Marcinkowskiego;Patroni
Plac Księdza Brzóski;Patroni
Plac Marii i Józefa Markowiczów;Patroni
Plac Nowowiejski;Geograficzne
Plac Poniatowskiego;Patroni
Plac Solny;Techniczne
Plac Trzeciego Tysiąclecia;Historyczne
Plac Waleriana Łukasińskiego;Patroni
Plac Wojciecha Kilara;Patroni
Plac im. Kardynała Stefana Wyszyńskiego;Patroni
Plac im. marszałka Józefa Piłsudskiego;Patroni
Plac von Garnier;Patroni
Plac św. Mikołaja bp.;Patroni
Plac św. Piotra;Patroni
Pokoju;Historyczne
Rondo 11 Listopada;Historyczne
Rondo Armii Krajowej;Historyczne
Rondo Artemiego Aroniszydzego;Patroni
Rondo Bernardyńskie;Historyczne
Rondo Falbanka;Inne
Rondo Hetmana Piotra Konaszewicza-Sahajdacznego;Patroni
Rondo I Brygady Komendanta Józefa Piłsudskiego;Historyczne
Rondo Imienia Ofiar Katynia;Historyczne
Rondo Imienia dr. Mieczysława Jerzego Opatrnego;Patroni
Rondo Kardynała Stefana Wyszyńskiego;Patroni
Rondo Miasta Ogrodu Włochy;Geograficzne
Rondo Miasta Partnerskiego Saint-Germain-en-Laye;Geograficzne
Rondo Nadwiślańskie;Przyrodnicze
Rondo Nikoli Tesli;Patroni
Rondo Prezydenta RP Lecha Kaczyńskiego;Patroni
Rondo Wałbrzyskich Twórców;Patroni
Rondo im. Antoniego Paciorko;Patroni
