18 Bielskiego Batalionu Desantowo-Szturmowego;Patroni
Aleja 700-lecia Torunia;Historyczne
Aleja Generała Władysława Sikorskiego;Patroni
Aleja Józefa Grzecznarowskiego;Patroni
Aleja Wolności;Historyczne
Basen II Inżyniera Wendy;Patroni
Basen IV Marszałka Piłsudskiego;Patroni
Bulwar Portowy;Techniczne
Góra Powstańców Śląskich;Historyczne
Kopiec Krakusa;Historyczne
Marina Solna;Techniczne
Most Kazimierza Wielkiego;Patroni
Most Trzebnicki;Geograficzne
Most Waleriana Hypszera;Patroni
Most św. Antoniego;Patroni
Nabrzeże Fosfatowe-Dalby;Techniczne
Nabrzeże Huty;Techniczne
Nabrzeże Na Cyplu;Neutralne
Nabrzeże Południowe;Neutralne
Os. Górki;Przyrodnicze
Osiedle Gawrony;Przyrodnicze
Osiedle Hutnika;Techniczne
Osiedle Kociołek;Neutralne
Osiedle Leśne Zacisze;Przyrodnicze
Osiedle Mestwina;Patroni
Osiedle POM;Techniczne
Osiedle Pogodna;Neutralne
Osiedle Przytorze;Neutralne
Osiedle Skalne;Przyrodnicze
Osiedle Słowiańskie;Historyczne
Osiedle XXX lecia;Historyczne
Park 750-lecia Goleniowa;Historyczne
Park Kanonierów;Techniczne
Park Ks. Kanonika Kazimierza Orkusza;Patroni
Park Miejski im. Jana Jerzego Przebendowskiego;Patroni
Park Miejski im. Stefana Złotnickiego;Patroni
Park Rekreacyjno-Wypoczynkowy Bolesława Krzywoustego;Patroni
Park Sanitariuszki "Inki";Patroni
Park Zdrojowy Baszta im. Antoniego Jurczaka;Patroni
Park im. Jacka Karpińskiego;Patroni
Plac Elizy Orzeszkowej;Patroni
Plac Jana Szczepanika;Patroni
Plac Komuny Paryskiej;Historyczne
Plac Miast Partnerskich;Neutralne
Plac Partnerskiego Miasta Staufen;Geograficzne
Plac Pole Elekcyjne;Historyczne
Plac Powstańców Śląskich;Historyczne
Plac im. Krzysztofa Pendereckiego;Patroni
Plac im. Ks. A. Morawca;Patroni
Plac im. ks. Mariana Dewudzkiego;Patroni
Plac im. św. Jana Pawła II;Patroni
Plac Świętego Krzyża;Patroni
Pola;Przyrodnicze
Rondo "Solidarności";Historyczne
Rondo 15 Południk;Geograficzne
Rondo 4 Czerwca 1989 r.;Historyczne
Rondo 650-lecia Kamienia Krajeńskiego;Historyczne
Rondo Górników Wielickich;Techniczne
Rondo Hetmana Stefana Czarnieckiego;Patroni
Rondo Hutników i Kuźników Ustrońskich;Techniczne
Rondo Jadwigi Barszczewskiej;Patroni
Rondo Janusza Kusocińskiego;Patroni
Rondo Józefa Wadyńskiego;Patroni
Rondo Kalwaryjskie;Geograficzne
Rondo Kapitana Harcmistrza Stefana Jaronia Kowalskiego;Patroni
Rondo Kresowian;Historyczne
Rondo Księdza Jana Sikory;Patroni
Rondo Leszczynko;Geograficzne
Rondo Lucjana Muszyńskiego;Patroni
Rondo Raciborskie;Geograficzne
Rondo Rewolucji Węgierskiej 1956 roku;Historyczne
Rondo Rotmistrza Witolda Pileckiego;Patroni
Rondo Ukraińskie;Historyczne
Rondo Zamkowe;Historyczne
Rondo im. Księdza Ryszarda Lendzińskiego;Patroni
Rondo im. Stefana Lipickiego;Patroni
Rondo imienia Księdza Łukasza Janczaka;Patroni
Rondo ks. Stanisława Witkowskiego;Patroni
Rondo mjr. Bronisława Lewkowicza;Patroni
Rondo prof. Stanisława Fryzego;Patroni
Rondo Św. Jana Nepomucena;Patroni
Rondo Świętego Leona Wielkiego;Patroni
Rondo św. Katarzyny Aleksandryjskiej Patronki Kolejarzy;Patroni
