"Stacja","Województwo"
"Warszawa Wschodnia","mazowieckie"
"Warszawa Wschodnia ","mazowieckie"
"Warszawa Zachodnia","mazowieckie"
"Warszawa Zachodnia ","mazowieckie"
"Wrocław Główny","dolnośląskie"
"Wrocław Główny ","dolnośląskie"
"Poznań Główny","wielkopolskie"
"Poznań Główny ","wielkopolskie"
"Gdańsk Wrzeszcz","pomorskie"
"Gdańsk Wrzeszcz ","pomorskie"
"Gdynia Główna","pomorskie"
"Gdynia Główna ","pomorskie"
"Kraków Główny","małopolskie"
"Kraków Główny ","małopolskie"
"Katowice","śląskie"
"Katowice ","śląskie"
"Sopot","pomorskie"
"Sopot ","pomorskie"
"Gdańsk Główny","pomorskie"
"Gdańsk Główny ","pomorskie"
"Łódź Widzew","łódzkie"
"Łódź Widzew ","łódzkie"
"Warszawa Śródmieście","mazowieckie"
"Warszawa Śródmieście ","mazowieckie"
"Warszawa Ochota","mazowieckie"
"Warszawa Ochota ","mazowieckie"
"Warszawa Powiśle","mazowieckie"
"Warszawa Powiśle ","mazowieckie"
"Warszawa Stadion","mazowieckie"
"Warszawa Stadion ","mazowieckie"
"Warszawa Centralna","mazowieckie"
"Warszawa Centralna ","mazowieckie"
"Warszawa Służewiec","mazowieckie"
"Warszawa Służewiec ","mazowieckie"
"Gdynia Chylonia","pomorskie"
"Gdynia Chylonia ","pomorskie"
"Warszawa Rakowiec","mazowieckie"
"Warszawa Rakowiec ","mazowieckie"
"Warszawa Żwirki i Wigury","mazowieckie"
"Warszawa Żwirki i Wigury ","mazowieckie"
"Warszawa Aleje Jerozolimskie","mazowieckie"
"Warszawa Aleje Jerozolimskie ","mazowieckie"
"Warszawa Włochy","mazowieckie"
"Warszawa Włochy ","mazowieckie"
"Rzeszów Główny","podkarpackie"
"Rzeszów Główny ","podkarpackie"
"Warszawa Gdańska","mazowieckie"
"Warszawa Gdańska ","mazowieckie"
"Legionowo","mazowieckie"
"Legionowo ","mazowieckie"
"Gliwice","śląskie"
"Gliwice ","śląskie"
"Kraków Zabłocie","małopolskie"
"Kraków Zabłocie ","małopolskie"
"Kraków Grzegórzki","małopolskie"
"Kraków Grzegórzki ","małopolskie"
"Tczew","pomorskie"
"Tczew ","pomorskie"
"Rumia","pomorskie"
