,"Przewozy pasażerskie/ Passenger transport
Udział przewoźników wg liczby pasażerów/ Share of RUs in terms of number of passengers",,
,,,
,,,
,,,
rok/ year,miesiąc/ month,Przewoźnicy/ Railway carriers,udział wg liczby pasażerów/ share by number of passengers
2012, styczeń/ January,Polregio,38.37%
2012, styczeń/ January,Koleje Mazowieckie - KM,21.56%
2012, styczeń/ January,PKP Szybka Kolej Miejska w Trójmieście,13.63%
2012, styczeń/ January,PKP Intercity,12.17%
2012, styczeń/ January,Szybka Kolej Miejska - Warszawa,5.55%
2012, styczeń/ January,Koleje Śląskie,3.16%
2012, styczeń/ January,Warszawska Kolej Dojazdowa,2.77%
2012, styczeń/ January,Koleje Wielkopolskie,1.29%
2012, styczeń/ January,Arriva RP,0.90%
2012, styczeń/ January,Pozostali/ Others,0.59%
2012, styczeń-luty/ January-February,Polregio,38.35%
2012, styczeń-luty/ January-February,Koleje Mazowieckie - KM,21.26%
2012, styczeń-luty/ January-February,PKP Szybka Kolej Miejska w Trójmieście,13.81%
2012, styczeń-luty/ January-February,PKP Intercity,12.21%
2012, styczeń-luty/ January-February,Szybka Kolej Miejska - Warszawa,5.55%
2012, styczeń-luty/ January-February,Koleje Śląskie,3.19%
2012, styczeń-luty/ January-February,Warszawska Kolej Dojazdowa,2.77%
2012, styczeń-luty/ January-February,Koleje Wielkopolskie,1.30%
2012, styczeń-luty/ January-February,Arriva RP,0.92%
2012, styczeń-luty/ January-February,Koleje Dolnośląskie,0.53%
2012, styczeń-luty/ January-February,Pozostali/ Others,0.12%
2012, styczeń-marzec/ January-March,Polregio,38.47%
2012, styczeń-marzec/ January-March,Koleje Mazowieckie - KM,21.21%
2012, styczeń-marzec/ January-March,PKP Szybka Kolej Miejska w Trójmieście,13.91%
2012, styczeń-marzec/ January-March,PKP Intercity,12.20%
2012, styczeń-marzec/ January-March,Szybka Kolej Miejska - Warszawa,5.36%
2012, styczeń-marzec/ January-March,Koleje Śląskie,3.18%
2012, styczeń-marzec/ January-March,Warszawska Kolej Dojazdowa,2.81%
2012, styczeń-marzec/ January-March,Koleje Wielkopolskie,1.24%
2012, styczeń-marzec/ January-March,Arriva RP,0.91%
2012, styczeń-marzec/ January-March,Koleje Dolnośląskie,0.57%
2012, styczeń-marzec/ January-March,Pozostali/ Others,0.13%
2012, styczeń-kwiecień/ January-April,Polregio,38.30%
2012, styczeń-kwiecień/ January-April,Koleje Mazowieckie - KM,21.31%
2012, styczeń-kwiecień/ January-April,PKP Szybka Kolej Miejska w Trójmieście,13.90%
2012, styczeń-kwiecień/ January-April,PKP Intercity,12.46%
2012, styczeń-kwiecień/ January-April,Szybka Kolej Miejska - Warszawa,5.19%
2012, styczeń-kwiecień/ January-April,Koleje Śląskie,3.18%
2012, styczeń-kwiecień/ January-April,Warszawska Kolej Dojazdowa,2.78%
2012, styczeń-kwiecień/ January-April,Koleje Wielkopolskie,1.24%
2012, styczeń-kwiecień/ January-April,Arriva RP,0.92%
2012, styczeń-kwiecień/ January-April,Koleje Dolnośląskie,0.59%
2012, styczeń-kwiecień/ January-April,Pozostali/ Others,0.13%
2012, styczeń-maj/ January-May,Polregio,38.11%
2012, styczeń-maj/ January-May,Koleje Mazowieckie - KM,21.32%
2012, styczeń-maj/ January-May,PKP Szybka Kolej Miejska w Trójmieście,13.79%
2012, styczeń-maj/ January-May,PKP Intercity,12.52%
2012, styczeń-maj/ January-May,Szybka Kolej Miejska - Warszawa,5.42%
2012, styczeń-maj/ January-May,Koleje Śląskie,3.16%
2012, styczeń-maj/ January-May,Warszawska Kolej Dojazdowa,2.77%
2012, styczeń-maj/ January-May,Koleje Wielkopolskie,1.24%
2012, styczeń-maj/ January-May,Arriva RP,0.91%
2012, styczeń-maj/ January-May,Koleje Dolnośląskie,0.61%
2012, styczeń-maj/ January-May,Pozostali/ Others,0.15%
2012, styczeń-czerwiec/ January-June,Polregio,37.69%
2012, styczeń-czerwiec/ January-June,Koleje Mazowieckie - KM,21.27%
2012, styczeń-czerwiec/ January-June,PKP Szybka Kolej Miejska w Trójmieście,13.69%
2012, styczeń-czerwiec/ January-June,PKP Intercity,12.61%
2012, styczeń-czerwiec/ January-June,Szybka Kolej Miejska - Warszawa,5.92%
2012, styczeń-czerwiec/ January-June,Koleje Śląskie,3.12%
2012, styczeń-czerwiec/ January-June,Warszawska Kolej Dojazdowa,2.75%
2012, styczeń-czerwiec/ January-June,Koleje Wielkopolskie,1.26%
2012, styczeń-czerwiec/ January-June,Arriva RP,0.91%
2012, styczeń-czerwiec/ January-June,Koleje Dolnośląskie,0.63%
2012, styczeń-czerwiec/ January-June,Pozostali/ Others,0.17%
2012, styczeń-lipiec/ January-July,Polregio,37.38%
2012, styczeń-lipiec/ January-July,Koleje Mazowieckie - KM,21.26%
2012, styczeń-lipiec/ January-July,PKP Szybka Kolej Miejska w Trójmieście,13.63%
2012, styczeń-lipiec/ January-July,PKP Intercity,12.96%
2012, styczeń-lipiec/ January-July,Szybka Kolej Miejska - Warszawa,5.99%
2012, styczeń-lipiec/ January-July,Koleje Śląskie,3.08%
2012, styczeń-lipiec/ January-July,Warszawska Kolej Dojazdowa,2.67%
2012, styczeń-lipiec/ January-July,Koleje Wielkopolskie,1.28%
2012, styczeń-lipiec/ January-July,Arriva RP,0.91%
2012, styczeń-lipiec/ January-July,Koleje Dolnośląskie,0.65%
2012, styczeń-lipiec/ January-July,Pozostali/ Others,0.19%
2012, styczeń-sierpień/ January-August,Polregio,37.22%
2012, styczeń-sierpień/ January-August,Koleje Mazowieckie - KM,21.27%
2012, styczeń-sierpień/ January-August,PKP Szybka Kolej Miejska w Trójmieście,13.66%
2012, styczeń-sierpień/ January-August,PKP Intercity,13.14%
2012, styczeń-sierpień/ January-August,Szybka Kolej Miejska - Warszawa,5.98%
2012, styczeń-sierpień/ January-August,Koleje Śląskie,3.05%
2012, styczeń-sierpień/ January-August,Warszawska Kolej Dojazdowa,2.61%
2012, styczeń-sierpień/ January-August,Koleje Wielkopolskie,1.29%
2012, styczeń-sierpień/ January-August,Arriva RP,0.91%
2012, styczeń-sierpień/ January-August,Koleje Dolnośląskie,0.66%
2012, styczeń-sierpień/ January-August,Pozostali/ Others,0.21%
2012, styczeń-wrzesień/ January-September,Polregio,37.24%
2012, styczeń-wrzesień/ January-September,Koleje Mazowieckie - KM,21.41%
