"Kod";"Nazwa";"wąskotorowe;1999;[km]";"wąskotorowe;2000;[km]";"wąskotorowe;2001;[km]";"wąskotorowe;2002;[km]";"wąskotorowe;2003;[km]";"wąskotorowe;2004;[km]";"wąskotorowe;2005;[km]";"wąskotorowe;2006;[km]";"wąskotorowe;2007;[km]";"wąskotorowe;2008;[km]";"wąskotorowe;2009;[km]";"wąskotorowe;2010;[km]";"wąskotorowe;2011;[km]";"wąskotorowe;2012;[km]";"wąskotorowe;2013;[km]";"wąskotorowe;2014;[km]";"wąskotorowe;2015;[km]";"wąskotorowe;2016;[km]";"wąskotorowe;2017;[km]";"wąskotorowe;2018;[km]";"wąskotorowe;2019;[km]";"wąskotorowe;2020;[km]";"wąskotorowe;2021;[km]";"wąskotorowe;2022;[km]";"wąskotorowe;2023;[km]";"wąskotorowe;2024;[km]";
0000000;"POLSKA";985;985;985;344;344;344;410;413;310;189;189;139;115;115;69;0;0;0;0;0;0;0;0;0;0;0;
0400000;"KUJAWSKO-POMORSKIE";169;169;169;66;66;66;66;65;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0600000;"LUBELSKIE";51;51;51;51;51;0;50;50;50;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0800000;"LUBUSKIE";0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1000000;"ŁÓDZKIE";74;74;74;57;57;57;57;57;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1400000;"MAZOWIECKIE";165;165;165;0;0;0;67;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1800000;"PODKARPACKIE";46;46;46;46;46;46;46;46;46;46;46;46;46;46;0;0;0;0;0;0;0;0;0;0;0;0;
2400000;"ŚLĄSKIE";37;37;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2600000;"ŚWIĘTOKRZYSKIE";30;30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2800000;"WARMIŃSKO-MAZURSKIE";48;48;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3000000;"WIELKOPOLSKIE";240;240;240;124;124;124;124;128;92;93;93;93;69;69;69;0;0;0;0;0;0;0;0;0;0;0;
3200000;"ZACHODNIOPOMORSKIE";125;125;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
