"Kod";"Nazwa";"grubizna ogółem;2016;[m3]";"grubizna ogółem;2017;[m3]";"grubizna ogółem;2018;[m3]";"grubizna ogółem;2019;[m3]";"grubizna ogółem;2020;[m3]";"grubizna ogółem;2021;[m3]";"grubizna ogółem;2022;[m3]";"grubizna ogółem;2023;[m3]";"grubizna ogółem;2024;[m3]";
0200000;"DOLNOŚLĄSKIE";62323;40092;45354;52797;39265;46344;46309;53628;66705;
0400000;"KUJAWSKO-POMORSKIE";67141;57406;67210;70399;49788;49772;61226;56960;62892;
0600000;"LUBELSKIE";124845;73777;97115;92059;86256;79546;95102;93880;92476;
0800000;"LUBUSKIE";29990;19227;15835;16350;18441;19790;18039;17652;19016;
1000000;"ŁÓDZKIE";87789;47082;56632;72798;94635;63721;74102;67314;80141;
1200000;"MAŁOPOLSKIE";111025;53746;69662;77654;76222;87281;97587;97047;106796;
1400000;"MAZOWIECKIE";190891;125039;162518;124101;136858;131180;176322;172103;163566;
1600000;"OPOLSKIE";22174;15730;16797;14443;18966;20539;17662;16014;176510;
1800000;"PODKARPACKIE";79654;42458;60450;63492;99251;64834;81063;78346;85340;
2000000;"PODLASKIE";56431;37780;35202;40960;35010;41063;51006;54992;57658;
2200000;"POMORSKIE";34584;57465;34208;29094;26096;29743;41242;45104;42527;
2400000;"ŚLĄSKIE";59932;33266;43350;43513;45604;47655;63992;130707;121925;
2600000;"ŚWIĘTOKRZYSKIE";29653;18343;21899;25235;24428;30114;42675;56438;60203;
2800000;"WARMIŃSKO-MAZURSKIE";86510;51817;41722;52807;54749;56712;62053;57519;56870;
3000000;"WIELKOPOLSKIE";96576;63646;62777;65290;59083;59355;73464;74057;79386;
3200000;"ZACHODNIOPOMORSKIE";95989;55235;28605;32756;30080;32704;43695;50384;51105;
