"Kod";"Nazwa";"sadzenie drzew;ogółem;2016;[szt.]";"sadzenie drzew;ogółem;2017;[szt.]";"sadzenie drzew;ogółem;2018;[szt.]";"sadzenie drzew;ogółem;2019;[szt.]";"sadzenie drzew;ogółem;2020;[szt.]";"sadzenie drzew;ogółem;2021;[szt.]";"sadzenie drzew;ogółem;2022;[szt.]";"sadzenie drzew;ogółem;2023;[szt.]";"sadzenie drzew;ogółem;2024;[szt.]";"sadzenie krzewów;ogółem;2016;[szt.]";"sadzenie krzewów;ogółem;2017;[szt.]";"sadzenie krzewów;ogółem;2018;[szt.]";"sadzenie krzewów;ogółem;2019;[szt.]";"sadzenie krzewów;ogółem;2020;[szt.]";"sadzenie krzewów;ogółem;2021;[szt.]";"sadzenie krzewów;ogółem;2022;[szt.]";"sadzenie krzewów;ogółem;2023;[szt.]";"sadzenie krzewów;ogółem;2024;[szt.]";
0200000;"DOLNOŚLĄSKIE";36424;42900;39670;31198;16653;21927;178225;92481;27339;26443;33247;69715;101943;21716;17418;86008;181638;43098;
0400000;"KUJAWSKO-POMORSKIE";67682;47081;52704;45104;23950;23758;22948;21310;29309;41694;45355;54322;51413;40519;35981;91928;180316;51353;
0600000;"LUBELSKIE";26662;20880;30575;63775;20493;30577;19764;25074;28333;31027;16922;20185;32271;26527;54204;33409;17566;23730;
0800000;"LUBUSKIE";4933;25310;4340;10689;6548;5554;72680;8347;5812;12348;68268;11987;42597;2187;4074;20620;19327;15100;
1000000;"ŁÓDZKIE";759451;506767;36255;17853;16712;63062;17766;18050;15978;464811;322437;9185;8756;18865;31169;62492;23250;7756;
1200000;"MAŁOPOLSKIE";96162;51592;40612;52021;41664;35852;28575;21766;33750;17206;33570;14349;11250;33043;12368;12152;13993;35225;
1400000;"MAZOWIECKIE";33774;32528;26940;37526;36771;19612;20276;26002;30005;21689;62217;33513;162966;165586;79816;85980;143513;329027;
1600000;"OPOLSKIE";10280;12493;6651;6151;8592;10562;6505;5873;45023;15698;13094;6147;4911;4119;10571;3215;8944;124678;
1800000;"PODKARPACKIE";40709;22340;14569;29040;11127;19262;17793;12259;12779;62868;40331;22771;8153;5232;73292;40167;9717;4820;
2000000;"PODLASKIE";15474;6009;8071;84742;6299;9305;7620;9975;7032;1798;4859;14623;75329;4489;28773;8204;17929;1317;
2200000;"POMORSKIE";15467;21654;15141;13987;25980;18547;11091;12816;19434;10397;19386;17145;19457;17533;10731;7554;37304;55198;
2400000;"ŚLĄSKIE";25426;21725;28113;32964;14274;58642;27666;45966;27779;11583;8480;20621;140835;10445;13407;8159;25219;37682;
2600000;"ŚWIĘTOKRZYSKIE";38302;10572;11017;55818;29826;66541;11275;9140;4556;4851;25864;17111;6758;2087;4979;2137;3158;19069;
2800000;"WARMIŃSKO-MAZURSKIE";31314;37855;52363;28036;23649;23331;31771;25782;23673;39984;112249;118273;37715;12554;7433;18030;67659;7290;
3000000;"WIELKOPOLSKIE";300439;295399;189545;51573;33379;33429;28743;32064;31204;34042;26154;26000;18384;18923;14751;11837;10442;11834;
3200000;"ZACHODNIOPOMORSKIE";11319;16339;10957;22730;16346;22028;56220;13607;17646;25608;7614;3634;76693;37316;23157;9524;39180;27484;
