Kategoria;Specyfikacja;Powierzchnia_tys_ha;Udział_procentowy
Skład gatunkowy;Ogółem;9275;100,0
Skład gatunkowy;Drzewa iglaste;6373;68,7
Skład gatunkowy;Sosna;5462;58,9
Skład gatunkowy;Świerk;465;5,0
Skład gatunkowy;Jodła;316;3,4
Skład gatunkowy;Drzewa liściaste;2901;31,3
Skład gatunkowy;Buk;590;6,4
Skład gatunkowy;Dąb;743;8,0
Skład gatunkowy;Grab;113;1,2
Skład gatunkowy;Brzoza;620;6,7
Skład gatunkowy;Olsza;532;5,7
Skład gatunkowy;Topola;9;0,1
Skład gatunkowy;Osika;74;0,8
Klasy wieku;Ogółem;9275;100,0
Klasy wieku;Na powierzchni zalesionej;9046;97,5
Klasy wieku;I (1–20 lat);1030;11,1
Klasy wieku;II (21–40);1317;14,2
Klasy wieku;III (41–60);1856;20,0
Klasy wieku;IV (61–80);2111;22,8
Klasy wieku;V i wyższe (81 lat i więcej);2286;24,6
Klasy wieku;Klasa odnowienia i budowa przerębowa;447;4,8
Klasy wieku;Na powierzchni niezalesionej;228;2,5
