Kategoria;Specyfikacja;Zasoby_milion_m3;Udział_procentowy
Skład gatunkowy;Ogółem;2696;100,0
Skład gatunkowy;Drzewa iglaste;1956;72,4
Skład gatunkowy;Sosna;1660;61,4
Skład gatunkowy;Świerk;127;4,7
Skład gatunkowy;Jodła;130;4,8
Skład gatunkowy;Drzewa liściaste;741;27,6
Skład gatunkowy;Buk;190;7,1
Skład gatunkowy;Dąb;186;6,9
Skład gatunkowy;Grab;26;1,0
Skład gatunkowy;Brzoza;114;4,2
Skład gatunkowy;Olsza;151;5,6
Skład gatunkowy;Topola;3;0,1
Skład gatunkowy;Osika;18;0,7
Klasy wieku;Ogółem;2696;100,0
Klasy wieku;Na powierzchni zalesionej;2693;99,9
Klasy wieku;I (1–20 lat);26;1,0
Klasy wieku;II (21–40);210;7,8
Klasy wieku;III (41–60);552;20,5
Klasy wieku;IV (61–80);750;27,8
Klasy wieku;V i wyższe (81 lat i więcej);982;36,4
Klasy wieku;Klasa odnowienia i budowa przerębowa;141;5,2
Klasy wieku;Przestoję;33;1,2
Klasy wieku;Na powierzchni niezalesionej;3;0,1
