Województwo;Rok;Zmienna;Wartoœæ
OGÓ£EM  KRAJ;2015;Moc zainstalowana elektryczna: ogó³em (MW);40384,105
OGÓ£EM  KRAJ;2015;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);7091,66
OGÓ£EM  KRAJ;2015;Moc osi¹galna elektryczna: ogó³em (MW);39984,087
OGÓ£EM  KRAJ;2015;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);6986,06
OGÓ£EM  KRAJ;2015;Produkcja energii elektrycznej: ogó³em (GWh);164944,3743
OGÓ£EM  KRAJ;2015;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";22675,4
OGÓ£EM  KRAJ;2016;Moc zainstalowana elektryczna: ogó³em (MW);41265,82
OGÓ£EM  KRAJ;2016;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);8036,22
OGÓ£EM  KRAJ;2016;Moc osi¹galna elektryczna: ogó³em (MW);40923,69
OGÓ£EM  KRAJ;2016;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);7935,38
OGÓ£EM  KRAJ;2016;Produkcja energii elektrycznej: ogó³em (GWh);166651,7398
OGÓ£EM  KRAJ;2016;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";22825,36
OGÓ£EM  KRAJ;2017;Moc zainstalowana elektryczna: ogó³em (MW);43507,29924
OGÓ£EM  KRAJ;2017;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);8208,79
OGÓ£EM  KRAJ;2017;Moc osi¹galna elektryczna: ogó³em (MW);42989,708
OGÓ£EM  KRAJ;2017;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);8033,51
OGÓ£EM  KRAJ;2017;Produkcja energii elektrycznej: ogó³em (GWh);170465,2281
OGÓ£EM  KRAJ;2017;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";24050,02
OGÓ£EM  KRAJ;2018;Moc zainstalowana elektryczna: ogó³em (MW);44313,204
OGÓ£EM  KRAJ;2018;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);8508,21
OGÓ£EM  KRAJ;2018;Moc osi¹galna elektryczna: ogó³em (MW);43265,643
OGÓ£EM  KRAJ;2018;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);8330,7
OGÓ£EM  KRAJ;2018;Produkcja energii elektrycznej: ogó³em (GWh);170039,4609
OGÓ£EM  KRAJ;2018;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";21579,69
OGÓ£EM  KRAJ;2019;Moc zainstalowana elektryczna: ogó³em (MW);47436,574
OGÓ£EM  KRAJ;2019;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);9578,72
OGÓ£EM  KRAJ;2019;Moc osi¹galna elektryczna: ogó³em (MW);46291,016
OGÓ£EM  KRAJ;2019;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);9399,8
OGÓ£EM  KRAJ;2019;Produkcja energii elektrycznej: ogó³em (GWh);163988,5456
OGÓ£EM  KRAJ;2019;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";25353,99
OGÓ£EM  KRAJ;2020;Moc zainstalowana elektryczna: ogó³em (MW);51792,686
OGÓ£EM  KRAJ;2020;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);12505,17
OGÓ£EM  KRAJ;2020;Moc osi¹galna elektryczna: ogó³em (MW);49732,63
OGÓ£EM  KRAJ;2020;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);12309,86
OGÓ£EM  KRAJ;2020;Produkcja energii elektrycznej: ogó³em (GWh);157952,6881
OGÓ£EM  KRAJ;2020;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";28226,56
OGÓ£EM  KRAJ;2021;Moc zainstalowana elektryczna: ogó³em (MW);56002,117
OGÓ£EM  KRAJ;2021;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);16920,531
OGÓ£EM  KRAJ;2021;Moc osi¹galna elektryczna: ogó³em (MW);53194,265
OGÓ£EM  KRAJ;2021;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);16437,849
OGÓ£EM  KRAJ;2021;Produkcja energii elektrycznej: ogó³em (GWh);179631,0529
OGÓ£EM  KRAJ;2021;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";30460,70097
OGÓ£EM  KRAJ;2022;Moc zainstalowana elektryczna: ogó³em (MW);60423,16658
OGÓ£EM  KRAJ;2022;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);22809,992
OGÓ£EM  KRAJ;2022;Moc osi¹galna elektryczna: ogó³em (MW);58623,43758
OGÓ£EM  KRAJ;2022;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);22451,511
OGÓ£EM  KRAJ;2022;Produkcja energii elektrycznej: ogó³em (GWh);179747,8804
OGÓ£EM  KRAJ;2022;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";37671,04077
OGÓ£EM  KRAJ;2023;Moc zainstalowana elektryczna: ogó³em (MW);66093,79278
OGÓ£EM  KRAJ;2023;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);28403,724
OGÓ£EM  KRAJ;2023;Moc osi¹galna elektryczna: ogó³em (MW);64187,21678
OGÓ£EM  KRAJ;2023;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);27924,793
OGÓ£EM  KRAJ;2023;Produkcja energii elektrycznej: ogó³em (GWh);167209,9966
OGÓ£EM  KRAJ;2023;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";45801,10727
dolnoœl¹skie;2015;Moc zainstalowana elektryczna: ogó³em (MW);2388,149
dolnoœl¹skie;2015;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);269,9
dolnoœl¹skie;2015;Moc osi¹galna elektryczna: ogó³em (MW);2363,399
dolnoœl¹skie;2015;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);265,68
dolnoœl¹skie;2015;Produkcja energii elektrycznej: ogó³em (GWh);10763,0411
dolnoœl¹skie;2015;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";1012,99
dolnoœl¹skie;2016;Moc zainstalowana elektryczna: ogó³em (MW);2401,624
dolnoœl¹skie;2016;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);274,2
dolnoœl¹skie;2016;Moc osi¹galna elektryczna: ogó³em (MW);2369,433
dolnoœl¹skie;2016;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);268,95
dolnoœl¹skie;2016;Produkcja energii elektrycznej: ogó³em (GWh);10944,64873
dolnoœl¹skie;2016;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";708,16
dolnoœl¹skie;2017;Moc zainstalowana elektryczna: ogó³em (MW);2412,144111
dolnoœl¹skie;2017;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);282,93
dolnoœl¹skie;2017;Moc osi¹galna elektryczna: ogó³em (MW);2379,547
dolnoœl¹skie;2017;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);277,27
dolnoœl¹skie;2017;Produkcja energii elektrycznej: ogó³em (GWh);10219,46148
dolnoœl¹skie;2017;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";803,45
dolnoœl¹skie;2018;Moc zainstalowana elektryczna: ogó³em (MW);2438,557
dolnoœl¹skie;2018;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);308,95
dolnoœl¹skie;2018;Moc osi¹galna elektryczna: ogó³em (MW);2407,827
dolnoœl¹skie;2018;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);305,15
dolnoœl¹skie;2018;Produkcja energii elektrycznej: ogó³em (GWh);9917,724053
dolnoœl¹skie;2018;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";644,33
dolnoœl¹skie;2019;Moc zainstalowana elektryczna: ogó³em (MW);2541,133
dolnoœl¹skie;2019;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);384,06
dolnoœl¹skie;2019;Moc osi¹galna elektryczna: ogó³em (MW);2478,341
dolnoœl¹skie;2019;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);379,97
dolnoœl¹skie;2019;Produkcja energii elektrycznej: ogó³em (GWh);8513,223714
dolnoœl¹skie;2019;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";769,65
dolnoœl¹skie;2020;Moc zainstalowana elektryczna: ogó³em (MW);2762,786
dolnoœl¹skie;2020;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);542,61
dolnoœl¹skie;2020;Moc osi¹galna elektryczna: ogó³em (MW);2670,336
dolnoœl¹skie;2020;Moc osi¹galna elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);537,06
dolnoœl¹skie;2020;Produkcja energii elektrycznej: ogó³em (GWh);8705,898945
dolnoœl¹skie;2020;"Produkcja energii elektrycznej: OZE (w tym elektrownie wodne z cz³onami pompowymi; ³¹cznie ze wspó³spalaniem) (GWh)";885,06
dolnoœl¹skie;2021;Moc zainstalowana elektryczna: ogó³em (MW);3668,045
dolnoœl¹skie;2021;Moc zainstalowana elektryczna: OZE (w tym elektrownie wodne z cz³onami pompowymi) (MW);891,255
