Nr_tabeli;Nazwa_tabeli;Parametr;Jedostka_miary;Rok;Wartoœæ;Source
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2000;2332;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2005;3847,22;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2010;10889;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2011;13137;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2012;16879;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2013;17066;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2014;19841;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2015;22679;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2016;22806;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2017;24050;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2018;21580,07553;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2019;25354;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2020;28226,57175;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2021;30460,69847;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2022;37667,91877;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE;GWh;2023;45801,10727;All
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2000;221;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2005;1510,62;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2010;6305;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2011;7601;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2012;10094;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2013;8622;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2014;9976;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2015;9932;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2016;7955;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2017;6416;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2018;6510,798625;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2019;7578,1;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2020;8350,27;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2021;7953,52;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2022;7610,5239;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - biogaz i biomasa ;GWh;2023;8110,640953;biogaz i biomasa
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2000;2106;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2005;2201,12;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2010;2920;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2011;2331;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2012;2037;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2013;2439;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2014;2182;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2015;1832;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2016;2139;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2017;2560;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2018;1969,997067;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2019;1958,415735;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2020;2118,336601;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2021;2339,182257;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2022;1968,187094;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - woda ;GWh;2023;2407,020943;woda
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2000;5;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2005;135,47;wiatr
6;Produkcja energii elektrycznej wg noœników - Polska;Produkcja energii elektrycznej: OZE - wiatr ;GWh;2010;1664;wiatr
