Województwo;Ogó³em;Mê¿czyŸni;Kobiety;Razem_Miasto;Mê¿czyŸni_miasto;Kobiety_miasto;Razem_wieœ;Mê¿czyŸni_wieœ;Kobiety_wieœ
POLSKA;37636508;18182399;19454109;22376547;10573043;11803504;15259961;7609356;7650605
Dolnoœl¹skie;2879271;1383490;1495781;1939504;915429;1024075;939767;468061;471706
Kujawsko-pomorskie;1996003;965401;1030602;1155424;543829;611595;840579;421572;419007
Lubelskie;2011047;973411;1037636;926885;433987;492898;1084162;539424;544738
Lubuskie;975023;473169;501854;624598;297381;327217;350425;175788;174637
£ódzkie;2362519;1125675;1236844;1459655;677566;782089;902864;448109;454755
Ma³opolskie;3429632;1663129;1766503;1641971;774877;867094;1787661;888252;899409
Mazowieckie;5510527;2638474;2872053;3562270;1667561;1894709;1948257;970913;977344
Opolskie;936725;452531;484194;494029;233926;260103;442696;218605;224091
Podkarpackie;2071676;1013946;1057730;849161;405265;443896;1222515;608681;613834
Podlaskie;1138216;553557;584659;692133;328260;363873;446083;225297;220786
Pomorskie;2359573;1145754;1213819;1470461;698884;771577;889112;446870;442242
Œl¹skie;4320130;2077359;2242771;3274119;1563287;1710832;1046011;514072;531939
Œwiêtokrzyskie;1168499;568274;600225;526512;247980;278532;641987;320294;321693
Warmiñsko-mazurskie;1357910;662625;695285;799788;379650;420138;558122;282975;275147
Wielkopolskie;3487973;1694237;1793736;1849631;876744;972887;1638342;817493;820849
Zachodniopomorskie;1631784;791367;840417;1110406;528417;581989;521378;262950;258428
