"identyfikacja_narodowo_etniczna";"ogolem";"wiek_przedpr_0_17";"wiek_prod_razem";"wiek_mob_18_44";"wiek_niemobilny_45_59/64";"wiek_popr_60"
ogolem;38511824;7202273;24797408;15418861;9378547;6512143
polska;37393651;7052740;24053046;14961272;9091774;6287865
inna_niz_polska;1467743;197907;983687;593470;390217;286149
slaska;846719;106846;564231;328918;235313;175642
kaszubska;232547;42639;153383;93042;60342;36525
niemiecka;147814;12303;97244;60250;36994;38267
ukrainska;51001;6090;35440;22236;13204;9471
bialoruska;46787;4026;27257;14600;12656;15504
romska;17049;4970;11014;7390;3624;1065
rosyjska;13046;1014;9139;5334;3805;2893
amerykanska;11838;2064;8175;5331;2844;1599
lemkowska;10531;1143;6723;4016;2707;2666
angielska;10495;2171;7851;6372;1479;473
wloska;8641;1823;6035;4468;1567;782
francuska;7999;1142;5108;3570;1538;1750
litewska;7863;1069;5083;3078;2005;1710
zydowska;7508;440;6101;3788;2312;967
wietnamska;4027;976;2941;2084;856;110
hiszpanska;3967;828;2970;2383;587;169
holenderska;3927;672;3008;2311;697;247
ormianska;3623;630;2689;1879;811;303
grecka;3600;334;2777;1672;1104;489
czeska;3447;472;2444;1664;780;530
slowacka;3240;427;2041;1321;721;771
kociewska;3065;459;2152;1158;993;455
kanadyjska;2991;430;2156;1328;828;404
goralska;2935;396;2194;1414;780;345
bulgarska;2171;298;1608;961;647;264
irlandzka;2131;433;1649;1424;225;49
tatarska;1916;216;1442;961;481;258
szwedzka;1909;175;1527;1062;464;207
wegierska;1728;225;1021;612;409;483
austriacka;1708;247;1177;727;450;284
australijska;1595;123;1283;772;511;189
chinska;1539;347;1114;822;291;78
wielkopolska;1515;149;1210;794;416;156
norweska;1489;167;1231;891;340;92
japonska;1460;319;1104;925;180;37
mazurska;1376;91;1075;585;490;211
hinduska;1357;290;1040;847;193;27
arabska;1328;187;1082;820;262;58
belgijska;1191;257;792;548;244;142
turecka;1162;169;977;789;188;16
inna;33215;4467;25445;17980;7465;3303
nieustalona_lub_bez_przynaleznosci_narodowo-etnicznej;521869;74390;361638;233153;128485;85841

