Województwo;Kod_terytorialny;Powiat;"Identyfikacja_narodowo-etniczna";Liczba;Procent
Dolnośląskie;201;bolesławiecki;Ogółem;90470;100,0
Dolnośląskie;201;bolesławiecki;Polska;88969;98,3
Dolnośląskie;201;bolesławiecki;Inna niż polska;1126;1,2
Dolnośląskie;201;bolesławiecki;Nieustalona lub bez identyfikacji;1116;1,2
Dolnośląskie;202;dzierżoniowski;Ogółem;106018;100,0
Dolnośląskie;202;dzierżoniowski;Polska;102525;96,7
Dolnośląskie;202;dzierżoniowski;Inna niż polska;583;0,6
Dolnośląskie;202;dzierżoniowski;Nieustalona lub bez identyfikacji;3351;3,2
Dolnośląskie;203;głogowski;Ogółem;90313;100,0
Dolnośląskie;203;głogowski;Polska;89176;98,7
Dolnośląskie;203;głogowski;Inna niż polska;707;0,8
Dolnośląskie;203;głogowski;Nieustalona lub bez identyfikacji;939;1,0
Dolnośląskie;204;górowski;Ogółem;36817;100,0
Dolnośląskie;204;górowski;Polska;36340;98,7
Dolnośląskie;204;górowski;Inna niż polska;113;0,3
Dolnośląskie;204;górowski;Nieustalona lub bez identyfikacji;454;1,2
Dolnośląskie;205;jaworski;Ogółem;52734;100,0
Dolnośląskie;205;jaworski;Polska;51510;97,7
Dolnośląskie;205;jaworski;Inna niż polska;199;0,4
Dolnośląskie;205;jaworski;Nieustalona lub bez identyfikacji;1176;2,2
Dolnośląskie;206;jeleniogórski;Ogółem;65134;100,0
Dolnośląskie;206;jeleniogórski;Polska;63154;97,0
Dolnośląskie;206;jeleniogórski;Inna niż polska;543;0,8
Dolnośląskie;206;jeleniogórski;Nieustalona lub bez identyfikacji;1807;2,8
Dolnośląskie;207;kamiennogórski;Ogółem;45959;100,0
Dolnośląskie;207;kamiennogórski;Polska;44878;97,6
Dolnośląskie;207;kamiennogórski;Inna niż polska;226;0,5
Dolnośląskie;207;kamiennogórski;Nieustalona lub bez identyfikacji;1028;2,2
Dolnośląskie;208;kłodzki;Ogółem;167393;100,0
Dolnośląskie;208;kłodzki;Polska;162531;97,1
Dolnośląskie;208;kłodzki;"Inna niż polska
    w tym:";1415;0,8
Dolnośląskie;208;kłodzki;romska;382;0,2
Dolnośląskie;208;kłodzki;Nieustalona lub bez identyfikacji;4244;2,5
Dolnośląskie;209;legnicki;Ogółem;54627;100,0
Dolnośląskie;209;legnicki;Polska;53003;97,0
Dolnośląskie;209;legnicki;"Inna niż polska
    w tym:";1174;2,1
Dolnośląskie;209;legnicki;łemkowska;678;1,2
Dolnośląskie;209;legnicki;Nieustalona lub bez identyfikacji;1037;1,9
Dolnośląskie;210;lubański;Ogółem;56860;100,0
Dolnośląskie;210;lubański;Polska;55695;98,0
Dolnośląskie;210;lubański;Inna niż polska;505;0,9
Dolnośląskie;210;lubański;Nieustalona lub bez identyfikacji;962;1,7
Dolnośląskie;211;lubiński;Ogółem;106873;100,0
Dolnośląskie;211;lubiński;Polska;104787;98,0
Dolnośląskie;211;lubiński;"Inna niż polska
    w tym:";2248;2,1
Dolnośląskie;211;lubiński;łemkowska;1314;1,2
Dolnośląskie;211;lubiński;Nieustalona lub bez identyfikacji;906;0,8
Dolnośląskie;212;lwówecki;Ogółem;48019;100,0
Dolnośląskie;212;lwówecki;Polska;47181;98,3
Dolnośląskie;212;lwówecki;Inna niż polska;317;0,7
Dolnośląskie;212;lwówecki;Nieustalona lub bez identyfikacji;769;1,6
Dolnośląskie;213;milicki;Ogółem;37506;100,0
Dolnośląskie;213;milicki;Polska;36993;98,6
Dolnośląskie;213;milicki;Inna niż polska;181;0,5
Dolnośląskie;213;milicki;Nieustalona lub bez identyfikacji;474;1,3
Dolnośląskie;214;oleśnicki;Ogółem;105309;100,0
Dolnośląskie;214;oleśnicki;Polska;103902;98,7
Dolnośląskie;214;oleśnicki;Inna niż polska;490;0,5
Dolnośląskie;214;oleśnicki;Nieustalona lub bez identyfikacji;1294;1,2
Dolnośląskie;215;oławski;Ogółem;74800;100,0
Dolnośląskie;215;oławski;Polska;73673;98,5
Dolnośląskie;215;oławski;Inna niż polska;647;0,9
Dolnośląskie;215;oławski;Nieustalona lub bez identyfikacji;929;1,2
Dolnośląskie;216;polkowicki;Ogółem;62977;100,0
Dolnośląskie;216;polkowicki;Polska;61621;97,8
Dolnośląskie;216;polkowicki;"Inna niż polska
    w tym:";1549;2,5
Dolnośląskie;216;polkowicki;łemkowska;1037;1,6
Dolnośląskie;216;polkowicki;Nieustalona lub bez identyfikacji;530;0,8
Dolnośląskie;217;strzeliński;Ogółem;44720;100,0
Dolnośląskie;217;strzeliński;Polska;44231;98,9
Dolnośląskie;217;strzeliński;Inna niż polska;297;0,7
Dolnośląskie;217;strzeliński;Nieustalona lub bez identyfikacji;403;0,9
Dolnośląskie;218;średzki;Ogółem;51596;100,0
Dolnośląskie;218;średzki;Polska;50926;98,7
Dolnośląskie;218;średzki;Inna niż polska;396;0,8
Dolnośląskie;218;średzki;Nieustalona lub bez identyfikacji;500;1,0
Dolnośląskie;219;świdnicki;Ogółem;162185;100,0
Dolnośląskie;219;świdnicki;Polska;159326;98,2
Dolnośląskie;219;świdnicki;Inna niż polska;1592;1,0
Dolnośląskie;219;świdnicki;Nieustalona lub bez identyfikacji;2316;1,4
Dolnośląskie;220;trzebnicki;Ogółem;81586;100,0
Dolnośląskie;220;trzebnicki;Polska;80307;98,4
Dolnośląskie;220;trzebnicki;Inna niż polska;731;0,9
Dolnośląskie;220;trzebnicki;Nieustalona lub bez identyfikacji;1139;1,4
Dolnośląskie;221;wałbrzyski;Ogółem;179712;100,0
Dolnośląskie;221;wałbrzyski;Polska;175023;97,4
Dolnośląskie;221;wałbrzyski;"Inna niż polska
    w tym:";1481;0,8
Dolnośląskie;221;wałbrzyski;niemiecka;303;0,2
Dolnośląskie;221;wałbrzyski;Nieustalona lub bez identyfikacji;4308;2,4
Dolnośląskie;222;wołowski;Ogółem;47873;100,0
Dolnośląskie;222;wołowski;Polska;46746;97,6
Dolnośląskie;222;wołowski;Inna niż polska;404;0,8
Dolnośląskie;222;wołowski;Nieustalona lub bez identyfikacji;1022;2,1
Dolnośląskie;223;wrocławski;Ogółem;119365;100,0
Dolnośląskie;223;wrocławski;Polska;117752;98,6
Dolnośląskie;223;wrocławski;Inna niż polska;998;0,8
Dolnośląskie;223;wrocławski;Nieustalona lub bez identyfikacji;1302;1,1
Dolnośląskie;224;ząbkowicki;Ogółem;68993;100,0
Dolnośląskie;224;ząbkowicki;Polska;67139;97,3
Dolnośląskie;224;ząbkowicki;Inna niż polska;417;0,6
Dolnośląskie;224;ząbkowicki;Nieustalona lub bez identyfikacji;1755;2,5
Dolnośląskie;225;zgorzelecki;Ogółem;94501;100,0
Dolnośląskie;225;zgorzelecki;Polska;92665;98,1
Dolnośląskie;225;zgorzelecki;Inna niż polska;981;1,0
Dolnośląskie;225;zgorzelecki;Nieustalona lub bez identyfikacji;1547;1,6
Dolnośląskie;226;złotoryjski;Ogółem;45672;100,0
Dolnośląskie;226;złotoryjski;Polska;45086;98,7
Dolnośląskie;226;złotoryjski;Inna niż polska;230;0,5
Dolnośląskie;226;złotoryjski;Nieustalona lub bez identyfikacji;536;1,2
Dolnośląskie;261;m.Jelenia Góra;Ogółem;83860;100,0
Dolnośląskie;261;m.Jelenia Góra;Polska;81940;97,7
Dolnośląskie;261;m.Jelenia Góra;Inna niż polska;771;0,9
Dolnośląskie;261;m.Jelenia Góra;Nieustalona lub bez identyfikacji;1677;2,0
Dolnośląskie;262;m.Legnica;Ogółem;103238;100,0
Dolnośląskie;262;m.Legnica;Polska;100146;97,0
Dolnośląskie;262;m.Legnica;"Inna niż polska
    w tym:";2098;2,0
Dolnośląskie;262;m.Legnica;łemkowska;705;0,7
Dolnośląskie;262;m.Legnica;ukraińska;445;0,4
Dolnośląskie;262;m.Legnica;Nieustalona lub bez identyfikacji;2106;2,0
Dolnośląskie;264;m.Wrocław;Ogółem;630131;100,0
Dolnośląskie;264;m.Wrocław;Polska;615908;97,7
Dolnośląskie;264;m.Wrocław;"Inna niż polska
    w tym:";10157;1,6
Dolnośląskie;264;m.Wrocław;grecka;324;0,1
Dolnośląskie;264;m.Wrocław;łemkowska;415;0,1
Dolnośląskie;264;m.Wrocław;niemiecka;1351;0,2
Dolnośląskie;264;m.Wrocław;romska;443;0,1
Dolnośląskie;264;m.Wrocław;rosyjska;417;0,1
Dolnośląskie;264;m.Wrocław;śląska;2029;0,3
Dolnośląskie;264;m.Wrocław;ukraińska;1188;0,2
Dolnośląskie;264;m.Wrocław;żydowska;555;0,1
Dolnośląskie;264;m.Wrocław;Nieustalona lub bez identyfikacji;11444;1,8
Kujawsko-pomorskie;401;aleksandrowski;Ogółem;56259;100,0
Kujawsko-pomorskie;401;aleksandrowski;Polska;55519;98,7
Kujawsko-pomorskie;401;aleksandrowski;Inna niż polska;282;0,5
Kujawsko-pomorskie;401;aleksandrowski;Nieustalona lub bez identyfikacji;660;1,2
Kujawsko-pomorskie;402;brodnicki;Ogółem;77529;100,0
Kujawsko-pomorskie;402;brodnicki;Polska;76756;99,0
Kujawsko-pomorskie;402;brodnicki;Inna niż polska;213;0,3
Kujawsko-pomorskie;402;brodnicki;Nieustalona lub bez identyfikacji;742;1,0
Kujawsko-pomorskie;403;bydgoski;Ogółem;106359;100,0
Kujawsko-pomorskie;403;bydgoski;Polska;105490;99,2
Kujawsko-pomorskie;403;bydgoski;Inna niż polska;614;0,6
Kujawsko-pomorskie;403;bydgoski;Nieustalona lub bez identyfikacji;723;0,7
Kujawsko-pomorskie;404;chełmiński;Ogółem;52707;100,0
Kujawsko-pomorskie;404;chełmiński;Polska;51785;98,3
Kujawsko-pomorskie;404;chełmiński;Inna niż polska;141;0,3
Kujawsko-pomorskie;404;chełmiński;Nieustalona lub bez identyfikacji;899;1,7
Kujawsko-pomorskie;405;golubsko-dobrzyński;Ogółem;45347;100,0
Kujawsko-pomorskie;405;golubsko-dobrzyński;Polska;45041;99,3
Kujawsko-pomorskie;405;golubsko-dobrzyński;Inna niż polska;90;0,2
Kujawsko-pomorskie;405;golubsko-dobrzyński;Nieustalona lub bez identyfikacji;286;0,6
Kujawsko-pomorskie;406;grudziądzki;Ogółem;40158;100,0
Kujawsko-pomorskie;406;grudziądzki;Polska;39791;99,1
Kujawsko-pomorskie;406;grudziądzki;Inna niż polska;119;0,3
Kujawsko-pomorskie;406;grudziądzki;Nieustalona lub bez identyfikacji;354;0,9
Kujawsko-pomorskie;407;inowrocławski;Ogółem;165207;100,0
Kujawsko-pomorskie;407;inowrocławski;Polska;163500;99,0
Kujawsko-pomorskie;407;inowrocławski;Inna niż polska;677;0,4
Kujawsko-pomorskie;407;inowrocławski;Nieustalona lub bez identyfikacji;1567;0,9
Kujawsko-pomorskie;408;lipnowski;Ogółem;67621;100,0
Kujawsko-pomorskie;408;lipnowski;Polska;67109;99,2
Kujawsko-pomorskie;408;lipnowski;Inna niż polska;129;0,2
Kujawsko-pomorskie;408;lipnowski;Nieustalona lub bez identyfikacji;493;0,7
Kujawsko-pomorskie;409;mogileński;Ogółem;47024;100,0
Kujawsko-pomorskie;409;mogileński;Polska;46505;98,9
Kujawsko-pomorskie;409;mogileński;Inna niż polska;83;0,2
Kujawsko-pomorskie;409;mogileński;Nieustalona lub bez identyfikacji;497;1,1
Kujawsko-pomorskie;410;nakielski;Ogółem;86866;100,0
Kujawsko-pomorskie;410;nakielski;Polska;86141;99,2
Kujawsko-pomorskie;410;nakielski;Inna niż polska;277;0,3
Kujawsko-pomorskie;410;nakielski;Nieustalona lub bez identyfikacji;646;0,7
Kujawsko-pomorskie;411;radziejowski;Ogółem;42423;100,0
Kujawsko-pomorskie;411;radziejowski;Polska;42162;99,4
Kujawsko-pomorskie;411;radziejowski;Inna niż polska;29;0,1
Kujawsko-pomorskie;411;radziejowski;Nieustalona lub bez identyfikacji;255;0,6
Kujawsko-pomorskie;412;rypiński;Ogółem;44892;100,0
Kujawsko-pomorskie;412;rypiński;Polska;44564;99,3
Kujawsko-pomorskie;412;rypiński;Inna niż polska;84;0,2
