Język ojczysty;Ogółem;mężczyźni;kobiety;miasta;wieś
Ogółem;38511824;18643870;19867954;23405892;15105932
Polski;37656090;18226585;19429506;22844279;14811811
Niepolski;333892;163537;170355;180582;153309
śląski;140012;73390;66622;73439;66573
niemiecki;58170;25424;32746;22855;35315
ukraiński;28172;10604;17567;17069;11103
białoruski;17480;7710;9770;6869;10611
rosyjski;17048;4890;12158;13887;3161
kaszubski;13799;7251;6548;3650;10149
romski;8612;4053;4559;8111;501
angielski;5624;3783;1841;4446;1178
litewski;5408;2508;2900;1405;4003
łemkowski;4454;2170;2284;1747;2707
francuski;3488;2088;1400;2864;624
wietnamski;3463;2009;1454;2960;503
arabski;2806;2216;590;2491;315
włoski;2207;1583;624;1598;608
ormiański;2115;1317;799;1793;322
hiszpański;1539;1004;535;1412;127
bułgarski;1506;854;653;1257;249
chiński;1152;524;628;470;682
grecki;928;582;345;809;119
niderlandzki;917;657;260;526;391
czeski;890;414;477;653;238
węgierski;818;349;468;685;133
turecki;814;656;159;653;161
rumuński;807;339;468;671;136
hindi;667;456;212;454;213
słowacki;648;345;303;413;235
gwara pogranicza polsko-białoruskiego;554;265;290;NA;554
inny;9792;6097;3695;7394;2398
Nieustalony;521842;253749;268093;381030;140812
