"jezyk_ojczysty";"ogolem";"wiek_przedpr_0_17";"wiek_prod_razem";"wiek_mob_18_44";"wiek_niemobilny_45_59/64";"wiek_popr_60"
Ogółem;38511824;7202273;24797408;15418861;9378547;6512143
Polski;37656090;7094694;24230768;15063799;9166970;6330627
Niepolski;333892;33772;203996;120892;83104;96124
śląski;140012;16702;93986;53976;40011;29323
niemiecki;58170;2650;20981;12455;8525;34540
ukraiński;28172;2523;19456;12666;6790;6192
białoruski;17480;465;8495;3736;4759;8520
rosyjski;17048;1006;12402;8047;4355;3640
kaszubski;13799;666;8483;3360;5123;4650
romski;8612;2484;5518;3725;1793;610
angielski;5624;1359;3993;2960;1033;272
litewski;5408;808;3437;2075;1362;1163
łemkowski;4454;440;2559;1362;1196;1456
francuski;3488;456;1692;1205;487;1340
wietnamski;3463;673;2703;1851;851;87
arabski;2806;244;2423;1758;664;139
włoski;2207;598;1269;789;480;339
ormiański;2115;213;1795;1225;570;107
hiszpański;1539;181;1247;849;398;111
bułgarski;1506;95;1181;639;542;230
chiński;1152;278;836;640;196;38
grecki;928;41;514;152;361;373
niderlandzki;917;216;598;281;317;103
czeski;890;61;581;356;225;248
węgierski;818;52;495;327;168;270
turecki;814;86;727;582;145;1
rumuński;807;200;487;421;66;120
hindi;667;177;481;397;84;9
słowacki;648;39;508;351;157;101
gwara pogranicza polsko-białoruskiego;554;14;211;102;108;329
inny;9792;1044;6938;4602;2336;1810
Nieustalony;521842;73806;362644;234171;128473;85392
