Województwo;Ogółem;polski;razem;angielski;białoruski;kaszubski;litewski;niemiecki;romski;rosyjski;śląski;ukraiński;inny;nieustalony
POLSKA;38511824;37656090;333892;5624;17480;13799;5408;58170;8612;17048;140012;28172;39567;521842
Dolnośląskie;2915241;2851666;12810;552;230;-;49;1523;1009;1729;148;2284;5286;50765
Kujawsko-pomorskie;2097635;2070712;2965;224;48;32;27;265;501;591;3;303;971;23958
Lubelskie;2175700;2145028;4664;150;277;13;3;79;625;799;4;1612;1102;26008
Lubuskie;1022843;1004475;3747;81;165;-;48;590;115;674;7;699;1369;14621
Łódzkie;2538677;2509224;4707;235;103;3;13;111;839;810;24;459;2111;24746
Małopolskie;3337471;3278788;7723;581;43;6;39;349;768;1099;167;1020;3652;50960
Mazowieckie;5268660;5190639;24643;1860;667;46;212;779;749;4010;220;4250;11849;53378
Opolskie;1016212;912132;80819;73;13;3;17;34212;591;573;44138;594;607;23260
Podkarpackie;2127286;2087904;4671;223;30;-;14;92;416;321;67;2494;1013;34710
Podlaskie;1202365;1154301;24674;109;15059;-;4484;86;318;839;-;1206;2572;23390
Pomorskie;2276174;2224822;20133;298;204;13552;108;1329;48;1097;67;1893;1538;31219
Śląskie;4630366;4440004;117658;393;122;65;86;15463;717;1468;95090;1007;3248;72703
Świętokrzyskie;1280721;1265334;1356;81;20;9;8;78;125;224;10;383;419;14031
Warmińsko-mazurskie;1452147;1419748;10392;145;243;19;137;1559;502;631;6;6550;600;22006
Wielkopolskie;3447441;3410477;6056;400;119;10;22;635;901;1189;21;717;2042;30908
Zachodniopomorskie;1722885;1690836;6871;218;139;41;139;1022;388;994;41;2702;1188;25178
