Przynależność do wyznania religijnego;Ogółem w tys.;W % ogółu ludności;W % ogółu udzielających odpowiedzi na pytanie o wyznanie
Ogółem;38511824;100,00;x
Udzielajacy odpowiedzi na pytanie o wyznanie;35151372;91,27;100,00
należący do wyznania;34221953;88,86;97,36
Kościół Katolicki - obrządek łaciński (Kościół rzymskokatolicki);33728734;87,58;95,95
Kościół Prawosławny;156284;0,41;0,44
Związek Wyznania Świadków Jehowy;137308;0,36;0,39
Kościół Ewangelicko-Augsburski;70766;0,18;0,20
Kościół Katolicki - obrządek bizantyjsko-ukraiński (Kościół greckokatolicki);33281;0,09;0,09
Kościół Zielonoświątkowy;26433;0,07;0,08
Kościół Starokatolicki Mariawitów;9990;0,03;0,03
Kościół Polskokatolicki;8807;0,02;0,03
Kościół Chrześcijan Baptystów;5982;0,02;0,02
Kościół Adwentystów Dnia Siódmego;4947;0,01;0,01
Buddyjski Związek Diamentowej Drogi Linii Karma Kgyu;3602;0,01;0,01
Muzułmański Związek Religijny;2585;0,01;0,01
Kościół Wolnych Chrześcijan;1643;0,00;0,00
Kościół Boży w Chrystusie;1350;0,00;0,00
jediizm (jedaizm - religia Jedi);1343;0,00;0,00
Islamskie Zgromadzenie Ahl-Ul-Bayt;1276;0,00;0,00
Zrzeszenie Wolnych Badaczy Pisma Świętego;1269;0,00;0,00
Kościół Ewangelicko-Reformowany;1179;0,00;0,00
"Świecki Ruch Misyjny ""Epifania""";1004;0,00;0,00
Ewangeliczny Kościół Chrześcijański;1003;0,00;0,00
ateizm (zadeklarowano jako wyznanie);935;0,00;0,00
Wspólnota Kościołów Chrystusowych;860;0,00;0,00
Kościół Ewangelicznych Chrześcijan;793;0,00;0,00
Kościół Ewangelicko-Metodystyczny;743;0,00;0,00
Liga Muzułmańska;732;0,00;0,00
Związek Buddyjski Tradycji Karma Kamtzang;653;0,00;0,00
Chrześcijańska Wspólnota Ewangeliczna;615;0,00;0,00
Kościół Chrystusowy;602;0,00;0,00
Misja Buddyjska Trzy Schronienia;562;0,00;0,00
Kościół Chrześcijan Wiary Ewangelicznej;540;0,00;0,00
agnostycyzm (zadeklarowano jako wyznanie);511;0,00;0,00
inne;15619;0,04;0,04
nienależący do żadnego wyznania;929420;2,41;2,64
Odmowiający odpowiedzi na pytanie o wyznanie;2733843;7,10;x
Nie ustalono;626608;1,63;x
