Przynależność do wyznania religijnego;Ogółem;mężczyźni;kobiety;miasta;wieś;
Ogółem;38511824;18643870;19867954;23405892;15105932;
Udzielajacy odpowiedzi na pytanie o wyznanie;35151372;16937075;18214297;20862610;14288763;
należący do wyznania;34221953;16391030;17830922;20053782;14168170;
Kościół Katolicki - obrządek łaciński (Kościół rzymskokatolicki);33728734;16162982;17565752;19732070;13996664;
Kościół Prawosławny;156284;72901;83383;94871;61413;
Związek Wyznania Świadków Jehowy;137308;57611;79698;96416;40893;
Kościół Ewangelicko-Augsburski;70766;33717;37049;45263;25503;
Kościół Katolicki - obrządek bizantyjsko-ukraiński (Kościół greckokatolicki);33281;16086;17196;17523;15758;
Kościół Zielonoświątkowy;26433;12222;14211;20154;6279;
Kościół Starokatolicki Mariawitów;9990;4824;5167;3080;6910;
Kościół Polskokatolicki;8807;4137;4670;2704;6103;
Kościół Chrześcijan Baptystów;5982;2725;3257;5192;790;
Kościół Adwentystów Dnia Siódmego;4947;2152;2795;3621;1326;
Buddyjski Związek Diamentowej Drogi Linii Karma Kgyu;3602;1914;1688;3300;301;
Muzułmański Związek Religijny;2585;1595;991;2224;361;
Kościół Wolnych Chrześcijan;1643;701;942;1239;403;
Kościół Boży w Chrystusie;1350;616;734;1233;116;
jediizm (jedaizm - religia Jedi);1343;1139;204;1270;74;
Islamskie Zgromadzenie Ahl-Ul-Bayt;1276;907;368;1071;205;
Zrzeszenie Wolnych Badaczy Pisma Świętego;1269;600;669;810;460;
Kościół Ewangelicko-Reformowany;1179;584;595;980;199;
"Świecki Ruch Misyjny ""Epifania""";1004;419;585;696;308;
Ewangeliczny Kościół Chrześcijański;1003;442;561;829;174;
ateizm (zadeklarowano jako wyznanie);935;646;289;780;155;
Wspólnota Kościołów Chrystusowych;860;419;442;727;133;
Kościół Ewangelicznych Chrześcijan;793;401;392;621;172;
Kościół Ewangelicko-Metodystyczny;743;376;367;587;156;
Liga Muzułmańska;732;443;289;679;53;
Związek Buddyjski Tradycji Karma Kamtzang;653;379;274;568;84;
Chrześcijańska Wspólnota Ewangeliczna;615;217;398;561;53;
Kościół Chrystusowy;602;280;323;413;189;
Misja Buddyjska Trzy Schronienia;562;317;246;531;32;
Kościół Chrześcijan Wiary Ewangelicznej;540;258;282;462;79;
agnostycyzm (zadeklarowano jako wyznanie);511;341;169;466;45;
inne;15619;8682;6937;12841;2778;
nienależący do żadnego wyznania;929420;546045;383375;808828;120592;
Odmowiający odpowiedzi na pytanie o wyznanie;2733843;1401891;1331952;2080010;653833;
Nie ustalono;626608;304904;321704;463272;163336;
