Przynależność do wyznania religijnego;Ogółem;Wiek przedprodukcyjny (0-17 lat);wiek produkcyjny (18-59/64) - razem;"wiek produkcyjny (18-59/64) - mobilny
 (18-44 lata)";"wiek produkcyjny (18-59/64) - niemobilny
 (45-59/64 lata)";Wiek poprodukcyjny (60/65 lat i więcej)
Ogółem;38511824;7202273;24797408;15418861;9378547;6512143
Udzielajacy odpowiedzi na pytanie o wyznanie;35151372;6648557;22387889;13865773;8522116;6114926
należący do wyznania;34221953;6538917;21680831;13411521;8269310;6002205
Kościół Katolicki - obrządek łaciński (Kościół rzymskokatolicki);33728734;6462924;21365091;13216540;8148551;5900718
Kościół Prawosławny;156284;21355;96628;58124;38504;38301
Związek Wyznania Świadków Jehowy;137308;20098;90633;54693;35940;26577
Kościół Ewangelicko-Augsburski;70766;11774;42578;25752;16826;16414
Kościół Katolicki - obrządek bizantyjsko-ukraiński (Kościół greckokatolicki);33281;4743;20604;12393;8211;7934
Kościół Zielonoświątkowy;26433;6233;17689;12073;5615;2512
Kościół Starokatolicki Mariawitów;9990;1746;6135;3834;2300;2109
Kościół Polskokatolicki;8807;1372;5146;3011;2135;2289
Kościół Chrześcijan Baptystów;5982;1341;4017;2784;1233;624
Kościół Adwentystów Dnia Siódmego;4947;718;3231;1999;1231;999
Buddyjski Związek Diamentowej Drogi Linii Karma Kgyu;3602;307;3203;2508;695;92
Muzułmański Związek Religijny;2585;574;1851;1290;560;161
Kościół Wolnych Chrześcijan;1643;439;1037;636;401;167
Kościół Boży w Chrystusie;1350;412;911;618;293;26
jediizm (jedaizm - religia Jedi);1343;113;1226;1182;44;4
Islamskie Zgromadzenie Ahl-Ul-Bayt;1276;204;1022;774;247;50
Zrzeszenie Wolnych Badaczy Pisma Świętego;1269;215;692;387;304;363
Kościół Ewangelicko-Reformowany;1179;268;724;468;256;187
"Świecki Ruch Misyjny ""Epifania""";1004;112;643;367;276;249
Ewangeliczny Kościół Chrześcijański;1003;171;656;388;269;176
ateizm (zadeklarowano jako wyznanie);935;102;723;455;268;110
Wspólnota Kościołów Chrystusowych;860;162;651;411;239;47
Kościół Ewangelicznych Chrześcijan;793;184;520;306;214;89
Kościół Ewangelicko-Metodystyczny;743;108;538;314;224;97
Liga Muzułmańska;732;243;478;407;71;11
Związek Buddyjski Tradycji Karma Kamtzang;653;93;544;342;202;15
Chrześcijańska Wspólnota Ewangeliczna;615;123;416;191;225;76
Kościół Chrystusowy;602;108;439;313;126;55
Misja Buddyjska Trzy Schronienia;562;93;441;358;83;29
Kościół Chrześcijan Wiary Ewangelicznej;540;141;338;225;113;62
agnostycyzm (zadeklarowano jako wyznanie);511;18;388;318;71;104
inne;15619;2424;11638;8058;3580;1558
nienależący do żadnego wyznania;929420;109640;707058;454252;252806;112722
Odmowiający odpowiedzi na pytanie o wyznanie;2733843;463786;1963297;1254245;709052;306760
Nie ustalono;626608;89929;446222;298843;147379;90457
