Przynależność do wyznania religijnego;Ogółem;Struktura identyfikacji narodowo-etnicznych - wyłącznie polska;Struktura identyfikacji narodowo-etnicznych - polska i niepolska;Struktura identyfikacji narodowo-etnicznych - wyłącznie niepolska;Struktura identyfikacji narodowo-etnicznych - nieustalona lub bez przynależności narodowo-etnicznej 
Ogółem;38511824;36522211;871440;596303;521869
Udzielajacy odpowiedzi na pytanie o wyznanie;35151372;33780716;812813;554110;3734
należący do wyznania;34221953;32903413;780261;534895;3383
Kościół Katolicki - obrządek łaciński (Kościół rzymskokatolicki);33728734;32524031;738115;463352;3237
Kościół Prawosławny;156284;97802;19031;39430;21
Związek Wyznania Świadków Jehowy;137308;133219;2495;1512;83
Kościół Ewangelicko-Augsburski;70766;57931;6769;6032;35
Kościół Katolicki - obrządek bizantyjsko-ukraiński (Kościół greckokatolicki);33281;8409;6744;18123;4
Kościół Zielonoświątkowy;26433;24544;1013;876;
Kościół Starokatolicki Mariawitów;9990;9930;17;43;
Kościół Polskokatolicki;8807;8757;51;;
Kościół Chrześcijan Baptystów;5982;5410;423;149;
Kościół Adwentystów Dnia Siódmego;4947;4493;260;190;4
Buddyjski Związek Diamentowej Drogi Linii Karma Kgyu;3602;2887;382;333;
Muzułmański Związek Religijny;2585;694;843;1048;
Kościół Wolnych Chrześcijan;1643;1293;143;207;
Kościół Boży w Chrystusie;1350;1285;59;6;
jediizm (jedaizm - religia Jedi);1343;1060;194;90;
Islamskie Zgromadzenie Ahl-Ul-Bayt;1276;354;315;607;
Zrzeszenie Wolnych Badaczy Pisma Świętego;1269;1242;17;10;
Kościół Ewangelicko-Reformowany;1179;841;256;82;
"Świecki Ruch Misyjny ""Epifania""";1004;981;12;11;
Ewangeliczny Kościół Chrześcijański;1003;926;28;49;
ateizm (zadeklarowano jako wyznanie);935;839;65;31;
Wspólnota Kościołów Chrystusowych;860;814;46;;
Kościół Ewangelicznych Chrześcijan;793;762;26;5;
Kościół Ewangelicko-Metodystyczny;743;590;94;59;
Liga Muzułmańska;732;215;171;345;
Związek Buddyjski Tradycji Karma Kamtzang;653;421;66;165;
Chrześcijańska Wspólnota Ewangeliczna;615;550;47;18;
Kościół Chrystusowy;602;578;24;;
Misja Buddyjska Trzy Schronienia;562;376;62;124;
Kościół Chrześcijan Wiary Ewangelicznej;540;529;11;;
agnostycyzm (zadeklarowano jako wyznanie);511;444;55;11;
inne;15619;11204;2429;1986;
nienależący do żadnego wyznania;929420;877303;32552;19215;350
Odmowiający odpowiedzi na pytanie o wyznanie;2733843;2639292;55379;38008;1164
Nie ustalono;626608;102203;3249;4185;516971
