Województwo;Ogółem;udzielający odp - razem;udzielający odp i należący do wyznania -razem;udzielający odp i należący do wyznania - Kościół Katolicki - obrządek łaciński (Kościół rzymskokatolicki);udzielający odp i należący do wyznania - Kościół Prawosławny;udzielający odp i należący do wyznania - Związek Wyznania Świadków Jehowy;udzielający odp i należący do wyznania - Kościół Ewangelicko-Augsburski;udzielający odp i należący do wyznania - Kościół Katolicki - obrządek bizantyjsko-ukraiński (Kościół greckokatolicki);udzielający odp i należący do wyznania - Kościół Zielonoświątkowy;udzielający odp i należący do wyznania - inne;udzielający odp i nienależący do żadnego wyznania;odmawiający odpowiedzi na pytanie o wyznanie;nie ustalono
POLSKA;38511824;35151372;34221953;33728734;156284;137308;70766;33281;26433;69145;929420;2733843;626608
Dolnośląskie;2915241;2603030;2497252;2461001;5015;15371;2140;3584;4495;5646;105778;251005;61206
Kujawsko-pomorskie;2097635;1901773;1858578;1847966;744;6616;688;159;756;1649;43195;165020;30842
Lubelskie;2175700;2041689;2018607;1997308;4441;10793;339;497;1029;4200;23082;103579;30432
Lubuskie;1022843;922466;890341;879577;1299;5329;630;1277;1474;756;32126;82215;18161
Łódzkie;2538677;2325188;2250210;2230240;1220;8078;1462;360;535;8315;74978;184525;28963
Małopolskie;3337471;3072845;3019332;2998794;2164;7245;994;1660;1832;6644;53512;204647;59979
Mazowieckie;5268660;4778974;4578140;4534472;9246;11817;3593;1394;2160;15459;200834;426197;63489
Opolskie;1016212;924250;903806;895933;435;3749;1601;227;1330;530;20445;64156;27805
Podkarpackie;2127286;1996525;1977654;1967369;1399;4030;100;2712;1013;1032;18870;90248;40514
Podlaskie;1202365;1113288;1102924;977013;119653;2450;187;169;770;2681;10364;62023;27055
Pomorskie;2276174;2063511;1998636;1978383;1769;9406;921;3436;1796;2926;64875;173206;39457
Śląskie;4630366;4212191;4099401;4007784;2000;24084;51009;519;4902;9103;112789;333839;84336
Świętokrzyskie;1280721;1196548;1182699;1177276;243;3092;142;182;330;1434;13848;67388;16786
Warmińsko-mazurskie;1452147;1324450;1295364;1266964;3149;4996;4466;12724;1286;1779;29086;100314;27383
Wielkopolskie;3447441;3150701;3086651;3067098;1579;10530;1300;453;1421;4270;64050;259061;37679
Zachodniopomorskie;1722885;1523944;1462356;1441555;1928;9724;1194;3926;1305;2724;61588;166421;32520
