Przynależność do wyznania religijnego;Ogółem;ogółu ludności;udzielających odpowiedzi na pytanie;należących do wyznania
Ogółem;38036118;100,00;x;x
Udzielający odpowiedzi na pytanie o wyznanie;30212506;79,43;100,00;x
należący do wyznania;27601000;72,57;91,36;100,00
Kościół katolicki - obrządek łaciński (Kościół rzymskokatolicki);27121331;71,30;89,77;98,26
Kościół prawosławny;151648;0,40;0,50;0,55
Świadkowie Jehowy;108754;0,29;0,36;0,39
Kościół Ewangelicko-Augsburski;65407;0,17;0,22;0,24
Kościół katolicki - obrządek bizantyjsko-ukraiński (Kościół greckokatolicki);33209;0,09;0,11;0,12
Kościół Zielonoświątkowy;30105;0,08;0,10;0,11
Kościół Starokatolicki Mariawitów;12248;0,03;0,04;0,04
chrześcijaństwo (ogólna deklaracja wyznaniowa);8828;0,02;0,03;0,03
Kościół Polskokatolicki;6942;0,02;0,02;0,03
Kościół Chrześcijan Baptystów;5181;0,01;0,02;0,02
Buddyjski Związek Diamentowej Drogi Linii Karma Kagyu;3236;0,01;0,01;0,01
Kościół Adwentystów Dnia Siódmego;3129;0,01;0,01;0,01
pastafarianizm;2312;0,01;0,01;0,01
Muzułmański Związek Religijny;2209;0,01;0,01;0,01
Kościół Chrystusowy w Rzeczypospolitej Polskiej;2072;0,01;0,01;0,01
Rodzima Wiara;2039;0,01;0,01;0,01
Kościół Boży w Chrystusie;2007;0,01;0,01;0,01
inne;40343;0,11;0,13;0,15
nienależący do żadnego wyznania;2611506;6,87;8,64;x
Odmawiający odpowiedzi na pytanie o wyznanie;7807553;20,53;x;x
Nie ustalono;16059;0,04;x;x
