TERYT,Województwo,Powiat,Gmina,OGÓŁEM,Podpowierzchniowy,Pokrywy gleby,Całkowity drzew,Pojedyncze drzewo
020101,dolnośląskie,bolesławiecki,Bolesławiec,0,0,0,0,0
020102,dolnośląskie,bolesławiecki,Bolesławiec,20,1,18,1,0
020103,dolnośląskie,bolesławiecki,Gromadka,16,0,15,0,1
020104,dolnośląskie,bolesławiecki,Nowogrodziec,14,3,10,0,1
020105,dolnośląskie,bolesławiecki,Osiecznica,9,2,7,0,0
020106,dolnośląskie,bolesławiecki,Warta Bolesławiecka,2,0,2,0,0
020201,dolnośląskie,dzierżoniowski,Bielawa,1,0,1,0,0
020202,dolnośląskie,dzierżoniowski,Dzierżoniów,0,0,0,0,0
020203,dolnośląskie,dzierżoniowski,Pieszyce,2,0,2,0,0
020204,dolnośląskie,dzierżoniowski,Piława Górna,0,0,0,0,0
020205,dolnośląskie,dzierżoniowski,Dzierżoniów,4,1,3,0,0
020206,dolnośląskie,dzierżoniowski,Łagiewniki,9,4,5,0,0
020207,dolnośląskie,dzierżoniowski,Niemcza,0,0,0,0,0
020301,dolnośląskie,głogowski,Głogów,0,0,0,0,0
020302,dolnośląskie,głogowski,Głogów,1,0,1,0,0
020303,dolnośląskie,głogowski,Jerzmanowa,7,1,6,0,0
020304,dolnośląskie,głogowski,Kotla,1,0,1,0,0
020305,dolnośląskie,głogowski,Pęcław,0,0,0,0,0
020306,dolnośląskie,głogowski,Żukowice,1,0,1,0,0
020401,dolnośląskie,górowski,Góra,1,0,1,0,0
020402,dolnośląskie,górowski,Jemielno,4,0,4,0,0
020403,dolnośląskie,górowski,Niechlów,1,0,1,0,0
020404,dolnośląskie,górowski,Wąsosz,3,0,1,1,1
020501,dolnośląskie,jaworski,Jawor,1,0,1,0,0
020502,dolnośląskie,jaworski,Bolków,6,0,4,1,1
020503,dolnośląskie,jaworski,Męcinka,0,0,0,0,0
020504,dolnośląskie,jaworski,Mściwojów,0,0,0,0,0
020505,dolnośląskie,jaworski,Paszowice,1,0,0,1,0
020506,dolnośląskie,jaworski,Wądroże Wielkie,0,0,0,0,0
020601,dolnośląskie,karkonoski,Karpacz,2,1,1,0,0
020602,dolnośląskie,karkonoski,Kowary,0,0,0,0,0
020603,dolnośląskie,karkonoski,Piechowice,1,0,1,0,0
020604,dolnośląskie,karkonoski,Szklarska Poręba,5,3,2,0,0
020605,dolnośląskie,karkonoski,Janowice Wielkie,3,1,2,0,0
020606,dolnośląskie,karkonoski,Jeżów Sudecki,1,1,0,0,0
020607,dolnośląskie,karkonoski,Mysłakowice,4,0,4,0,0
020608,dolnośląskie,karkonoski,Podgórzyn,4,0,3,0,1
020609,dolnośląskie,karkonoski,Stara Kamienica,1,0,1,0,0
020701,dolnośląskie,kamiennogórski,Kamienna Góra,1,1,0,0,0
