"Kod";"Nazwa";"domy studenckie;2024;[ob.]";"miejsca w domach studenckich;2024;[msc.]";"studenci korzystający z domów studenckich;2024;[osoba]";"studenci korzystający z domów studenckich w % ogółu studentów;2024;[%]";
0000000;"POLSKA";434;111958;81616;6,4;
0200000;"DOLNOŚLĄSKIE";33;8557;5839;4,7;
0400000;"KUJAWSKO-POMORSKIE";21;4527;3963;6,7;
0600000;"LUBELSKIE";31;7342;4543;6,8;
0800000;"LUBUSKIE";6;1576;1052;9,0;
1000000;"ŁÓDZKIE";27;7418;5648;7,8;
1200000;"MAŁOPOLSKIE";51;18166;14814;9,7;
1400000;"MAZOWIECKIE";64;16549;13376;4,6;
1600000;"OPOLSKIE";9;2579;1897;10,6;
1800000;"PODKARPACKIE";19;4174;3099;7,2;
2000000;"PODLASKIE";10;3515;1818;6,1;
2200000;"POMORSKIE";39;7867;5804;6,3;
2400000;"ŚLĄSKIE";40;9369;6631;6,0;
2600000;"ŚWIĘTOKRZYSKIE";10;2205;1289;6,2;
2800000;"WARMIŃSKO-MAZURSKIE";10;2098;1897;8,6;
3000000;"WIELKOPOLSKIE";41;9214;5804;4,3;
3200000;"ZACHODNIOPOMORSKIE";23;6802;4142;12,3;
