Kod;Nazwa;"ogółem;uczelnie ogółem;2024;[osoba]";"stypendium socjalne;uczelnie ogółem;2024;[osoba]";"stypendium rektora;uczelnie ogółem;2024;[osoba]";"stypendium dla osób z niepełnosprawnościami;uczelnie ogółem;2024;[osoba]";"udział studentów otrzymujących stypendia;uczelnie ogółem;2024;[%]"
0;POLSKA;160219;52790;92215;20695;12,5
200000;DOLNOŚLĄSKIE;12666;2807;8173;1578;10,1
400000;KUJAWSKO-POMORSKIE;8226;2672;4767;1188;13,9
600000;LUBELSKIE;12262;6415;5739;1080;18,5
800000;LUBUSKIE;1387;382;763;348;11,9
1000000;ŁÓDZKIE;9212;2691;5685;1209;12,8
1200000;MAŁOPOLSKIE;21814;8351;12024;2144;14,4
1400000;MAZOWIECKIE;26432;7448;15725;3601;9,2
1600000;OPOLSKIE;2316;637;1454;291;13
1800000;PODKARPACKIE;9577;5204;4122;1150;22,3
2000000;PODLASKIE;5461;2624;2585;567;18,2
2200000;POMORSKIE;11350;2853;6955;2098;12,2
2400000;ŚLĄSKIE;11638;2938;7260;1923;10,4
2600000;ŚWIĘTOKRZYSKIE;3783;1592;1759;629;18,3
2800000;WARMIŃSKO-MAZURSKIE;3186;1470;1434;513;14,4
3000000;WIELKOPOLSKIE;16556;3645;10724;1923;12,3
3200000;ZACHODNIOPOMORSKIE;4353;1061;3046;453;12,9
