WOJEWODZTWO;MARKA;LICZBA;ROK;MIESIAC
DOLNOŚLĄSKIE;VOLKSWAGEN;891;2021;1
DOLNOŚLĄSKIE;TOYOTA;687;2021;1
DOLNOŚLĄSKIE;SKODA;625;2021;1
DOLNOŚLĄSKIE;FORD;602;2021;1
DOLNOŚLĄSKIE;AUDI;589;2021;1
DOLNOŚLĄSKIE;OPEL;486;2021;1
DOLNOŚLĄSKIE;BMW;428;2021;1
DOLNOŚLĄSKIE;MERCEDES-BENZ;349;2021;1
DOLNOŚLĄSKIE;RENAULT;276;2021;1
DOLNOŚLĄSKIE;KIA;245;2021;1
DOLNOŚLĄSKIE;SEAT;232;2021;1
DOLNOŚLĄSKIE;HYUNDAI;231;2021;1
DOLNOŚLĄSKIE;CITROEN;208;2021;1
DOLNOŚLĄSKIE;DACIA;196;2021;1
DOLNOŚLĄSKIE;PEUGEOT;194;2021;1
DOLNOŚLĄSKIE;NISSAN;185;2021;1
DOLNOŚLĄSKIE;MAZDA;146;2021;1
DOLNOŚLĄSKIE;VOLVO;143;2021;1
DOLNOŚLĄSKIE;FIAT;136;2021;1
DOLNOŚLĄSKIE;SUZUKI;126;2021;1
DOLNOŚLĄSKIE;HONDA;98;2021;1
DOLNOŚLĄSKIE;MITSUBISHI;91;2021;1
DOLNOŚLĄSKIE;LEXUS;47;2021;1
DOLNOŚLĄSKIE;CHEVROLET;38;2021;1
DOLNOŚLĄSKIE;SUBARU;37;2021;1
DOLNOŚLĄSKIE;JEEP;32;2021;1
DOLNOŚLĄSKIE;ALFA ROMEO;30;2021;1
DOLNOŚLĄSKIE;MINI;30;2021;1
DOLNOŚLĄSKIE;PORSCHE;23;2021;1
DOLNOŚLĄSKIE;CHRYSLER;17;2021;1
DOLNOŚLĄSKIE;DAIMLERCHRYSLER;17;2021;1
DOLNOŚLĄSKIE;LAND ROVER;14;2021;1
DOLNOŚLĄSKIE;DODGE;12;2021;1
DOLNOŚLĄSKIE;DAIHATSU;11;2021;1
DOLNOŚLĄSKIE;JAGUAR;11;2021;1
DOLNOŚLĄSKIE;SMART;9;2021;1
DOLNOŚLĄSKIE;LANCIA;5;2021;1
DOLNOŚLĄSKIE;RENAULT/CARPOL;5;2021;1
DOLNOŚLĄSKIE;SAAB;5;2021;1
DOLNOŚLĄSKIE;CUPRA;4;2021;1
DOLNOŚLĄSKIE;DS;3;2021;1
DOLNOŚLĄSKIE;MERCEDES-AMG;3;2021;1
DOLNOŚLĄSKIE;DAEWOO;2;2021;1
DOLNOŚLĄSKIE;ROVER;2;2021;1
DOLNOŚLĄSKIE;TESLA;2;2021;1
DOLNOŚLĄSKIE;ACURA;1;2021;1
DOLNOŚLĄSKIE;ASTON MARTIN;1;2021;1
DOLNOŚLĄSKIE;COBRA;1;2021;1
DOLNOŚLĄSKIE;FORD-CNG-TECHNIK;1;2021;1
DOLNOŚLĄSKIE;GENESIS;1;2021;1
DOLNOŚLĄSKIE;GM DAEWOO;1;2021;1
DOLNOŚLĄSKIE;LADA;1;2021;1
DOLNOŚLĄSKIE;LINCOLN;1;2021;1
DOLNOŚLĄSKIE;MASERATI;1;2021;1
DOLNOŚLĄSKIE;MCC;1;2021;1
DOLNOŚLĄSKIE;VAZ;1;2021;1
DOLNOŚLĄSKIE;VOLKSWAGEN/CARPOL;1;2021;1
KUJAWSKO-POMORSKIE;VOLKSWAGEN;547;2021;1
KUJAWSKO-POMORSKIE;OPEL;522;2021;1
KUJAWSKO-POMORSKIE;FORD;364;2021;1
KUJAWSKO-POMORSKIE;AUDI;310;2021;1
KUJAWSKO-POMORSKIE;TOYOTA;282;2021;1
KUJAWSKO-POMORSKIE;BMW;248;2021;1
KUJAWSKO-POMORSKIE;SKODA;215;2021;1
KUJAWSKO-POMORSKIE;MERCEDES-BENZ;185;2021;1
KUJAWSKO-POMORSKIE;RENAULT;182;2021;1
KUJAWSKO-POMORSKIE;PEUGEOT;176;2021;1
KUJAWSKO-POMORSKIE;KIA;164;2021;1
KUJAWSKO-POMORSKIE;HYUNDAI;162;2021;1
KUJAWSKO-POMORSKIE;CITROEN;156;2021;1
KUJAWSKO-POMORSKIE;NISSAN;100;2021;1
KUJAWSKO-POMORSKIE;SEAT;90;2021;1
KUJAWSKO-POMORSKIE;MAZDA;81;2021;1
KUJAWSKO-POMORSKIE;VOLVO;80;2021;1
KUJAWSKO-POMORSKIE;FIAT;75;2021;1
KUJAWSKO-POMORSKIE;HONDA;74;2021;1
KUJAWSKO-POMORSKIE;SUZUKI;69;2021;1
KUJAWSKO-POMORSKIE;DACIA;66;2021;1
KUJAWSKO-POMORSKIE;MITSUBISHI;49;2021;1
KUJAWSKO-POMORSKIE;CHEVROLET;27;2021;1
KUJAWSKO-POMORSKIE;ALFA ROMEO;20;2021;1
KUJAWSKO-POMORSKIE;JEEP;15;2021;1
KUJAWSKO-POMORSKIE;MINI;14;2021;1
KUJAWSKO-POMORSKIE;DAIMLERCHRYSLER;13;2021;1
KUJAWSKO-POMORSKIE;JAGUAR;9;2021;1
KUJAWSKO-POMORSKIE;LEXUS;9;2021;1
KUJAWSKO-POMORSKIE;DAIHATSU;7;2021;1
KUJAWSKO-POMORSKIE;LAND ROVER;7;2021;1
KUJAWSKO-POMORSKIE;SAAB;6;2021;1
KUJAWSKO-POMORSKIE;VAUXHALL;6;2021;1
KUJAWSKO-POMORSKIE;CADILLAC;5;2021;1
KUJAWSKO-POMORSKIE;DODGE;5;2021;1
KUJAWSKO-POMORSKIE;PORSCHE;5;2021;1
KUJAWSKO-POMORSKIE;SUBARU;5;2021;1
KUJAWSKO-POMORSKIE;CHRYSLER;4;2021;1
KUJAWSKO-POMORSKIE;DAEWOO;4;2021;1
KUJAWSKO-POMORSKIE;LANCIA;4;2021;1
KUJAWSKO-POMORSKIE;SMART;4;2021;1
KUJAWSKO-POMORSKIE;INFINITI;3;2021;1
KUJAWSKO-POMORSKIE;BUICK;2;2021;1
KUJAWSKO-POMORSKIE;GMC;2;2021;1
KUJAWSKO-POMORSKIE;LADA;2;2021;1
KUJAWSKO-POMORSKIE;MASERATI;2;2021;1
KUJAWSKO-POMORSKIE;RENAULT/CARPOL;2;2021;1
KUJAWSKO-POMORSKIE;HUMMER;1;2021;1
KUJAWSKO-POMORSKIE;LINCOLN;1;2021;1
KUJAWSKO-POMORSKIE;MCC;1;2021;1
KUJAWSKO-POMORSKIE;MERCEDES;1;2021;1
KUJAWSKO-POMORSKIE;SCION;1;2021;1
KUJAWSKO-POMORSKIE;UAZ;1;2021;1
LUBELSKIE;AUDI;444;2021;1
LUBELSKIE;VOLKSWAGEN;337;2021;1
LUBELSKIE;OPEL;324;2021;1
LUBELSKIE;FORD;318;2021;1
LUBELSKIE;TOYOTA;308;2021;1
LUBELSKIE;BMW;275;2021;1
LUBELSKIE;PEUGEOT;221;2021;1
LUBELSKIE;RENAULT;212;2021;1
LUBELSKIE;VOLVO;195;2021;1
LUBELSKIE;KIA;194;2021;1
LUBELSKIE;HYUNDAI;190;2021;1
LUBELSKIE;CITROEN;177;2021;1
LUBELSKIE;SKODA;166;2021;1
LUBELSKIE;MERCEDES-BENZ;154;2021;1
LUBELSKIE;HONDA;124;2021;1
LUBELSKIE;NISSAN;109;2021;1
LUBELSKIE;SEAT;106;2021;1
LUBELSKIE;FIAT;82;2021;1
LUBELSKIE;MAZDA;74;2021;1
LUBELSKIE;SUZUKI;74;2021;1
LUBELSKIE;MITSUBISHI;52;2021;1
LUBELSKIE;DACIA;45;2021;1
LUBELSKIE;JEEP;33;2021;1
LUBELSKIE;CHEVROLET;32;2021;1
LUBELSKIE;SUBARU;31;2021;1
LUBELSKIE;ALFA ROMEO;28;2021;1
LUBELSKIE;SAAB;21;2021;1
LUBELSKIE;CHRYSLER;17;2021;1
LUBELSKIE;LEXUS;17;2021;1
LUBELSKIE;DODGE;14;2021;1
LUBELSKIE;MINI;13;2021;1
LUBELSKIE;DAIMLERCHRYSLER;8;2021;1
LUBELSKIE;LAND ROVER;8;2021;1
LUBELSKIE;VAUXHALL;7;2021;1
LUBELSKIE;JAGUAR;6;2021;1
LUBELSKIE;DAIHATSU;5;2021;1
LUBELSKIE;PORSCHE;5;2021;1
LUBELSKIE;INFINITI;4;2021;1
LUBELSKIE;LANCIA;4;2021;1
LUBELSKIE;SMART;4;2021;1
LUBELSKIE;DAEWOO;2;2021;1
LUBELSKIE;GM DAEWOO;2;2021;1
LUBELSKIE;INFINITY;2;2021;1
LUBELSKIE;MASERATI;2;2021;1
LUBELSKIE;SSANGYONG;2;2021;1
LUBELSKIE;TESLA;2;2021;1
LUBELSKIE;ACURA;1;2021;1
LUBELSKIE;BENTLEY;1;2021;1
LUBELSKIE;BMW I;1;2021;1
LUBELSKIE;CADILLAC;1;2021;1
LUBELSKIE;DAIMLER;1;2021;1
LUBELSKIE;FORD TRANSIT/ITS SYSTEM;1;2021;1
LUBELSKIE;GAZ;1;2021;1
LUBELSKIE;ISUZU;1;2021;1
LUBELSKIE;LONDON TAXIS INTERNATIONAL;1;2021;1
LUBELSKIE;MCC SMART;1;2021;1
LUBELSKIE;MERCEDES;1;2021;1
LUBELSKIE;PONTIAC;1;2021;1
LUBELSKIE;RAM;1;2021;1
LUBELSKIE;ROVER;1;2021;1
LUBELSKIE;SCION;1;2021;1
LUBUSKIE;VOLKSWAGEN;425;2021;1
LUBUSKIE;FORD;238;2021;1
LUBUSKIE;OPEL;188;2021;1
LUBUSKIE;AUDI;169;2021;1
LUBUSKIE;TOYOTA;157;2021;1
LUBUSKIE;SKODA;140;2021;1
LUBUSKIE;BMW;135;2021;1
LUBUSKIE;MERCEDES-BENZ;104;2021;1
LUBUSKIE;PEUGEOT;96;2021;1
LUBUSKIE;HYUNDAI;93;2021;1
LUBUSKIE;RENAULT;93;2021;1
LUBUSKIE;NISSAN;83;2021;1
LUBUSKIE;CITROEN;80;2021;1
LUBUSKIE;KIA;80;2021;1
LUBUSKIE;MAZDA;73;2021;1
LUBUSKIE;SEAT;54;2021;1
LUBUSKIE;HONDA;45;2021;1
LUBUSKIE;SUZUKI;45;2021;1
LUBUSKIE;VOLVO;42;2021;1
LUBUSKIE;FIAT;41;2021;1
LUBUSKIE;DACIA;38;2021;1
LUBUSKIE;MITSUBISHI;35;2021;1
LUBUSKIE;JEEP;16;2021;1
LUBUSKIE;CHEVROLET;14;2021;1
LUBUSKIE;LEXUS;11;2021;1
LUBUSKIE;MINI;11;2021;1
LUBUSKIE;DAIMLERCHRYSLER;10;2021;1
LUBUSKIE;LAND ROVER;8;2021;1
LUBUSKIE;ALFA ROMEO;7;2021;1
LUBUSKIE;SUBARU;7;2021;1
LUBUSKIE;CHRYSLER;5;2021;1
LUBUSKIE;DODGE;5;2021;1
LUBUSKIE;SMART;5;2021;1
LUBUSKIE;DAEWOO;3;2021;1
LUBUSKIE;DAIHATSU;3;2021;1
LUBUSKIE;CUPRA;2;2021;1
LUBUSKIE;DAIMLER-BENZ;2;2021;1
LUBUSKIE;SAAB;2;2021;1
LUBUSKIE;VAUXHALL;2;2021;1
LUBUSKIE;BENTLEY;1;2021;1
LUBUSKIE;CADILLAC;1;2021;1
LUBUSKIE;FERRARI;1;2021;1
LUBUSKIE;FORD-CNG-TECHNIK;1;2021;1
LUBUSKIE;JAGUAR;1;2021;1
LUBUSKIE;LADA;1;2021;1
